#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20017_Visit1_S73_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4838364
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.34319	4351241
k__Bacteria|p__Bacteroidetes	2|976	49.75291	0.66828	2422677
k__Bacteria|p__Firmicutes	2|1239	47.1161	0.63286	1813324
k__Bacteria|p__Actinobacteria	2|201174	2.51018	0.03372	72728
k__Bacteria|p__Proteobacteria	2|1224	0.62081	0.00834	42512
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	49.75291	0.66828	2422677
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.52633	0.51748	1561158
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.69463	0.10335	223669
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.37898	0.01852	41810
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.1312	0.01519	30918
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.64526	0.00867	20184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.59804	0.00803	41170
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.22707	0.00305	7679
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.02281	0.00031	634
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02276	0.00031	1342
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	49.75291	0.66828	2422677
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	38.52633	0.51748	1561158
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.69463	0.10335	223669
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.16505	0.01565	34247
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.06372	0.01429	28806
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.64526	0.00867	20184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.59804	0.00803	41170
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.22707	0.00305	7679
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.21393	0.00287	7563
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.04723	0.00063	1454
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.02281	0.00031	634
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02276	0.00031	1342
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.02025	0.00027	658
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	48.61769	0.65303	2366012
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	15.82601	0.21257	681700
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	13.72963	0.18442	548450
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	8.26914	0.11107	314843
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	4.95821	0.0666	139509
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	2.05996	0.02767	62127
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.16409	0.01564	34215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.06372	0.01429	28806
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.83817	0.01126	34257
