#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20005_Visit1_S42_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5740425
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.51131	5289550
k__Bacteria|p__Bacteroidetes	2|976	66.00244	0.9975	3706585
k__Bacteria|p__Firmicutes	2|1239	27.89205	0.42154	1253746
k__Bacteria|p__Proteobacteria	2|1224	3.03698	0.0459	221230
k__Bacteria|p__Actinobacteria	2|201174	2.41192	0.03645	80295
k__Bacteria|p__Verrucomicrobia	2|74201	0.65661	0.00992	27694
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	66.00244	0.9975	3706585
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	26.91379	0.40675	1213605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.62929	0.03974	203662
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.63764	0.02475	54661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.77428	0.0117	25634
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.65661	0.00992	27694
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.64051	0.00968	23777
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.26756	0.00404	11844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.25691	0.00388	13982
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.14014	0.00212	5724
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.08084	0.00122	2382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	66.00244	0.9975	3706585
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	26.91379	0.40675	1213605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.62929	0.03974	203662
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.63764	0.02475	54661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.7729	0.01168	25576
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.65661	0.00992	27694
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.64051	0.00968	23777
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.26756	0.00404	11844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.25691	0.00388	13982
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.14014	0.00212	5724
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.08084	0.00122	2382
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00138	2e-05	58
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	52.01921	0.78617	2785148
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	18.51487	0.27982	918074
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.18966	0.10866	585706
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	4.21477	0.0637	171065
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.98648	0.06025	161226
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	2.62929	0.03974	203662
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	2.09197	0.03162	65683
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.89465	0.02863	50363
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.72411	0.02606	117907
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.63764	0.02475	54661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.7729	0.01168	25576
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.65661	0.00992	27694
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.64051	0.00968	23777
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.50183	0.00758	24034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.35285	0.00533	22725
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.26756	0.00404	11844
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.25691	0.00388	13982
