#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20013_Visit1_S30_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3795769
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.7429	1.13804	3274653
k__Archaea	2157	0.2571	0.00293	5184
k__Bacteria|p__Firmicutes	2|1239	79.05705	0.90202	2236328
k__Bacteria|p__Proteobacteria	2|1224	10.33779	0.11795	599091
k__Bacteria|p__Bacteroidetes	2|976	7.37401	0.08414	363654
k__Bacteria|p__Actinobacteria	2|201174	2.97406	0.03393	75580
k__Archaea|p__Euryarchaeota	2157|28890	0.2571	0.00293	5184
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.90941	0.83187	2055251
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	9.81303	0.11196	573847
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.37401	0.08414	363654
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.95795	0.04516	103280
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.67495	0.03052	68042
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.67998	0.01917	56575
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.52476	0.00599	25244
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.39216	0.00447	17603
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.29911	0.00341	7538
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.2571	0.00293	5184
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.11754	0.00134	3619
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	72.90941	0.83187	2055251
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	9.81303	0.11196	573847
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.37401	0.08414	363654
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	3.95795	0.04516	103280
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.32288	0.0265	57992
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.67998	0.01917	56575
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.52476	0.00599	25244
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.39216	0.00447	17603
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.35207	0.00402	10050
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.29911	0.00341	7538
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.2571	0.00293	5184
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.11754	0.00134	3619
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	56.38036	0.64328	1596971
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	9.81303	0.11196	573847
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	7.47962	0.08534	222827
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	5.42178	0.06186	173699
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	3.95795	0.04516	103280
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	3.58816	0.04094	60505
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	3.12566	0.03566	121671
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.89724	0.03306	163142
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	2.32288	0.0265	57992
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	1.67998	0.01917	56575
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.01005	0.01152	62527
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.52476	0.00599	25244
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.39216	0.00447	17603
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.35207	0.00402	10050
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.33406	0.00381	16061
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.29911	0.00341	7538
