#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20021_Visit1_S65_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4636919
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.26428	4356051
k__Bacteria|p__Bacteroidetes	2|976	75.05936	0.94896	3473944
k__Bacteria|p__Firmicutes	2|1239	16.14233	0.20408	632187
k__Bacteria|p__Actinobacteria	2|201174	8.58562	0.10855	242527
k__Bacteria|p__Proteobacteria	2|1224	0.15657	0.00198	5414
k__Bacteria|p__Verrucomicrobia	2|74201	0.05612	0.00071	1979
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	75.05936	0.94896	3473944
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.31538	0.18099	582651
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.31259	0.09245	204158
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.73859	0.02198	47070
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.27303	0.01609	38369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.13416	0.0017	4170
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.08836	0.00112	2466
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.05612	0.00071	1979
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02241	0.00028	1244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	75.05936	0.94896	3473944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	14.31538	0.18099	582651
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	7.1717	0.09067	198496
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.73859	0.02198	47070
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.27303	0.01609	38369
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.14089	0.00178	5662
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.11684	0.00148	3048
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.08836	0.00112	2466
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.05612	0.00071	1979
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02241	0.00028	1244
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.01732	0.00022	1122
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	70.67429	0.89352	3264047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	8.46904	0.10707	369873
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	7.1717	0.09067	198496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.08086	0.06424	190262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.82384	0.02306	59429
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.66407	0.02104	104140
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.30189	0.01646	33022
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.27303	0.01609	38369
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.69711	0.00881	21145
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.41589	0.00526	24075
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.29769	0.00376	12377
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.24006	0.00304	6702
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.19664	0.00249	7346
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.18358	0.00232	9876
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.14089	0.00178	5662
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.11684	0.00148	3048
