#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2020-6-153/wellnessV1234/3264_v1_1.fastq.gz,/proj/snic2020-6-153/wellnessV1234/3264_v1_2.fastq.gz --bowtie2out 3264.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:20275238
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.24062	4.64363	18545554
k__Archaea	2157	3.75938	0.18139	320591
k__Bacteria|p__Firmicutes	2|1239	46.28699	2.23336	7182517
k__Bacteria|p__Bacteroidetes	2|976	45.93211	2.21623	10809722
k__Archaea|p__Euryarchaeota	2157|28890	3.75938	0.18139	320591
k__Bacteria|p__Actinobacteria	2|201174	2.29258	0.11062	299603
k__Bacteria|p__Synergistetes	2|508458	0.93309	0.04502	160266
k__Bacteria|p__Proteobacteria	2|1224	0.79585	0.0384	93446
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	45.93211	2.21623	10809722
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	35.891	1.73175	6205716
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.90419	0.23663	436192
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.48822	0.21656	404300
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	3.75938	0.18139	320591
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.13856	0.10319	280031
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.93309	0.04502	160266
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.67056	0.03235	74903
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.61543	0.02969	60726
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.33301	0.01607	61406
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.15402	0.00743	19572
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12507	0.00603	25129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05535	0.00267	7591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	45.93211	2.21623	10809722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	35.891	1.73175	6205716
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.8992	0.23639	435733
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	4.48822	0.21656	404300
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	3.75938	0.18139	320591
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.53897	0.07426	175705
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.93309	0.04502	160266
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.66735	0.0322	74610
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.61543	0.02969	60726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.59959	0.02893	104326
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.33301	0.01607	61406
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.15402	0.00743	19572
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.12507	0.00603	25129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.05535	0.00267	7591
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.005	0.00024	459
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00321	0.00016	293
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	36.73027	1.77224	9262141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	25.68223	1.23917	4677243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	5.12595	0.24733	764630
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	4.82736	0.23292	429246
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	4.48822	0.21656	404300
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	3.75938	0.18139	320591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.69509	0.17829	560192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	3.07357	0.1483	376737
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	2.36644	0.11418	489137
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	2.19909	0.10611	486815
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.56274	0.0754	194892
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.53897	0.07426	175705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	1.15056	0.05551	169210
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.93309	0.04502	160266
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.66735	0.0322	74610
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified	2|1224|||	0.61543	0.02969	60726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.59959	0.02893	104326
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.33301	0.01607	61406
