#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2020-6-153/wellnessV1234/2881_v1_1.fastq.gz,/proj/snic2020-6-153/wellnessV1234/2881_v1_2.fastq.gz --bowtie2out 2881.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11486792
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.18045	3.20047	9473895
k__Archaea	2157	6.81955	0.23423	413982
k__Bacteria|p__Firmicutes	2|1239	56.61243	1.94447	5687870
k__Bacteria|p__Actinobacteria	2|201174	21.17339	0.72724	1654113
k__Bacteria|p__Bacteroidetes	2|976	13.06445	0.44872	1890153
k__Archaea|p__Euryarchaeota	2157|28890	6.81955	0.23423	413982
k__Bacteria|p__Verrucomicrobia	2|74201	1.63215	0.05606	156452
k__Bacteria|p__Proteobacteria	2|1224	0.53728	0.01845	65246
k__Bacteria|p__Synergistetes	2|508458	0.15154	0.0052	18660
k__Bacteria|p__Lentisphaerae	2|256845	0.00687	0.00024	1227
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00234	8e-05	174
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.8794	1.81625	5400954
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	16.3436	0.56135	1287126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.06445	0.44872	1890153
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	6.81955	0.23423	413982
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.8298	0.16589	366987
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.88944	0.0649	148420
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.79261	0.06157	134154
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.63215	0.05606	156452
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.35194	0.01209	33469
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.17456	0.006	30729
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.15154	0.0052	18660
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.0371	0.00127	3361
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.01388	0.00048	981
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01078	0.00037	1048
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00687	0.00024	1227
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.00234	8e-05	174
