#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20009_Visit1_S18_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3463910
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.66565	0.78495	2542657
k__Archaea	2157	1.33435	0.01062	18751
k__Bacteria|p__Bacteroidetes	2|976	34.98912	0.27836	1107221
k__Bacteria|p__Firmicutes	2|1239	30.95498	0.24627	639746
k__Bacteria|p__Actinobacteria	2|201174	17.45058	0.13883	301025
k__Bacteria|p__Proteobacteria	2|1224	9.3698	0.07454	359515
k__Bacteria|p__Verrucomicrobia	2|74201	5.32118	0.04233	118145
k__Archaea|p__Euryarchaeota	2157|28890	1.33435	0.01062	18751
k__Bacteria|p__Synergistetes	2|508458	0.54394	0.00433	15514
k__Bacteria|p__Lentisphaerae	2|256845	0.03605	0.00029	1491
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	34.98912	0.27836	1107221
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.7253	0.22057	573340
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	13.08962	0.10414	225117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.00511	0.06369	326409
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	5.32118	0.04233	118145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.36096	0.03469	75908
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.49048	0.01981	47488
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.34152	0.01067	32584
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.33435	0.01062	18751
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.7392	0.00588	18918
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.54394	0.00433	15514
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.03605	0.00029	1491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02317	0.00018	522
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	34.98912	0.27836	1107221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	27.7253	0.22057	573340
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	13.08962	0.10414	225117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	8.00511	0.06369	326409
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	5.32118	0.04233	118145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.36096	0.03469	75908
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.49048	0.01981	47488
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.34152	0.01067	32584
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.33435	0.01062	18751
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.7392	0.00588	18918
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.54394	0.00433	15514
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.03605	0.00029	1491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02317	0.00018	522
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	17.21892	0.13699	501012
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	13.08962	0.10414	225117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	10.53256	0.08379	209313
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	10.52437	0.08373	282025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	9.09202	0.07233	232945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	8.00511	0.06369	326409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	5.84253	0.04648	92786
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	5.32118	0.04233	118145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	4.36096	0.03469	75908
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.99459	0.03178	175025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	2.62209	0.02086	128489
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	2.49048	0.01981	47488
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	1.34152	0.01067	32584
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.33435	0.01062	18751
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.27992	0.01018	25101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.97827	0.00778	13195
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.7392	0.00588	18918
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.54394	0.00433	15514
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.50861	0.00405	17049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.12053	0.00096	3621
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	2|256845|1313211|278082|255528	0.03605	0.00029	1491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.02317	0.00018	522
