#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20023_Visit1_S96_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6792677
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.81987	6212528
k__Bacteria|p__Bacteroidetes	2|976	73.00408	1.32858	4773053
k__Bacteria|p__Firmicutes	2|1239	22.42282	0.40807	1250483
k__Bacteria|p__Actinobacteria	2|201174	4.42539	0.08054	181636
k__Bacteria|p__Proteobacteria	2|1224	0.14771	0.00269	7356
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	73.00408	1.32858	4773053
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.38932	0.37106	1171116
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.86921	0.07041	157550
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.90136	0.0346	74921
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.55617	0.01012	24086
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.12418	0.00226	5582
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.08906	0.00162	3025
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.04308	0.00078	1421
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02066	0.00038	1650
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00287	5e-05	124
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	73.00408	1.32858	4773053
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	20.38932	0.37106	1171116
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.63135	0.06609	144672
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.90136	0.0346	74921
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.55617	0.01012	24086
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.23786	0.00433	12878
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.10735	0.00195	4013
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.08906	0.00162	3025
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.03795	0.00069	1193
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02066	0.00038	1650
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.01683	0.00031	1569
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.00513	9e-05	228
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00287	5e-05	124
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	66.60549	1.21213	4376002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	10.01477	0.18226	614007
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	9.22109	0.16781	489194
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.63135	0.06609	144672
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.77356	0.05048	126095
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.64108	0.04806	197506
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.49868	0.02727	59947
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	1.15346	0.02099	67915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.59637	0.01085	50108
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.55617	0.01012	24086
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.40268	0.00733	14974
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.33656	0.00612	19438
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.23786	0.00433	12878
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.10735	0.00195	4013
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.08906	0.00162	3025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.05103	0.00093	3904
