#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20002_Visit1_S27_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4131475
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.92641	1.2182	3586736
k__Archaea	2157	0.07359	0.0009	1582
k__Bacteria|p__Firmicutes	2|1239	32.24505	0.3931	1117474
k__Bacteria|p__Bacteroidetes	2|976	31.73461	0.38688	1431787
k__Bacteria|p__Actinobacteria	2|201174	23.74284	0.28945	599944
k__Bacteria|p__Verrucomicrobia	2|74201	11.17444	0.13623	380188
k__Bacteria|p__Proteobacteria	2|1224	0.97249	0.01186	55080
k__Archaea|p__Euryarchaeota	2157|28890	0.07359	0.0009	1582
k__Bacteria|p__Synergistetes	2|508458	0.05699	0.00069	2263
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	31.73461	0.38688	1431787
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	29.68955	0.36194	1052491
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	19.95895	0.24332	499017
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	11.17444	0.13623	380188
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.78389	0.04613	100927
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.0684	0.02522	50865
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.73219	0.00893	45954
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.25095	0.00306	6870
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.24029	0.00293	9126
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.23616	0.00288	7248
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.07359	0.0009	1582
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.05699	0.00069	2263
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	31.73461	0.38688	1431787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	29.68955	0.36194	1052491
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	19.89292	0.24251	496651
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	11.17444	0.13623	380188
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.78389	0.04613	100927
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.0684	0.02522	50865
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.73219	0.00893	45954
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.25095	0.00306	6870
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.24029	0.00293	9126
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.23616	0.00288	7248
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.07359	0.0009	1582
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.06603	0.0008	2366
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.05699	0.00069	2263
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	21.56012	0.26284	960278
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	19.89292	0.24251	496651
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	13.66009	0.16653	552373
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	11.17444	0.13623	380188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	10.20852	0.12445	329967
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	4.55347	0.05551	136902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	4.11806	0.0502	134585
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.84995	0.04693	242044
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.78389	0.04613	100927
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.46992	0.01792	37073
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.4422	0.01758	25797
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.86426	0.01054	45438
