#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20006_Visit1_S71_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8510538
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.34615	7921495
k__Bacteria|p__Bacteroidetes	2|976	84.83691	1.9904	6999600
k__Bacteria|p__Firmicutes	2|1239	11.25068	0.26396	712167
k__Bacteria|p__Actinobacteria	2|201174	3.80037	0.08916	196257
k__Bacteria|p__Proteobacteria	2|1224	0.11203	0.00263	13471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	84.83691	1.9904	6999600
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.87271	0.13778	397985
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.30194	0.10093	240968
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.10464	0.04938	109063
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.69573	0.03978	87194
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.67442	0.01582	32582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.33185	0.00779	37025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11203	0.00263	13471
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06977	0.00164	3607
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	84.83691	1.9904	6999600
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	5.87271	0.13778	397985
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	4.22969	0.09923	237544
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.10464	0.04938	109063
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.67967	0.03941	86252
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.67442	0.01582	32582
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.33185	0.00779	37025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.11203	0.00263	13471
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.06977	0.00164	3607
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.0394	0.00092	2114
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.03285	0.00077	1310
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01606	0.00038	942
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	83.98306	1.97036	6888975
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	4.22969	0.09923	237544
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.71713	0.06375	173062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.27768	0.05344	180074
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.10464	0.04938	109063
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.67967	0.03941	86252
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.84168	0.01975	43564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.78965	0.01853	103686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.61154	0.01435	29364
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.33185	0.00779	37025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.11203	0.00263	13471
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.06977	0.00164	3607
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.06288	0.00148	3218
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.05135	0.0012	6127
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.0394	0.00092	2114
