#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/hong/SZAOMICS_metagenomics/fastq1/Feces_20012_Visit1_S25_R1_001.fastq.gz --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2600952
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.82505	2249552
k__Bacteria|p__Firmicutes	2|1239	45.37097	0.37433	996503
k__Bacteria|p__Actinobacteria	2|201174	37.43087	0.30882	720861
k__Bacteria|p__Bacteroidetes	2|976	10.38729	0.0857	366237
k__Bacteria|p__Verrucomicrobia	2|74201	6.23191	0.05142	143495
k__Bacteria|p__Proteobacteria	2|1224	0.52689	0.00435	20222
k__Bacteria|p__Lentisphaerae	2|256845	0.05207	0.00043	2234
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	32.51594	0.26827	770919
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	27.56365	0.22741	539968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.38729	0.0857	366237
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.86722	0.08141	180893
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.81935	0.08101	166001
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	6.23191	0.05142	143495
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.22925	0.01839	42893
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.73427	0.00606	15539
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.29614	0.00244	11863
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.23074	0.0019	8359
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.07215	0.0006	1151
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.05207	0.00043	2234
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	32.51594	0.26827	770919
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	27.50732	0.22695	538290
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.38729	0.0857	366237
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.81935	0.08101	166001
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	9.09405	0.07503	164508
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	6.23191	0.05142	143495
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.22925	0.01839	42893
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.77317	0.00638	16385
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.73427	0.00606	15539
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.29614	0.00244	11863
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.23074	0.0019	8359
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.07215	0.0006	1151
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.05477	0.00045	1649
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.05207	0.00043	2234
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00156	1e-05	29
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	27.50732	0.22695	538290
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	16.82904	0.13885	380246
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	9.72249	0.08022	163997
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	9.35004	0.07714	247851
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	9.06044	0.07475	163824
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	6.23191	0.05142	143495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	5.81084	0.04794	231048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	3.48685	0.02877	94200
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	2.30598	0.01903	63803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.23858	0.01847	32663
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	2.22925	0.01839	42893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.86927	0.00717	30853
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.84224	0.00695	18612
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.77317	0.00638	16385
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.73427	0.00606	15539
