#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2020-6-153/wellnessV1234/3217_v1_1.fastq.gz,/proj/snic2020-6-153/wellnessV1234/3217_v1_2.fastq.gz --bowtie2out 3217.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10495839
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.9415	3.1359	9346814
k__Archaea	2157	2.0585	0.06591	116187
k__Bacteria|p__Firmicutes	2|1239	69.89448	2.23789	6177627
k__Bacteria|p__Bacteroidetes	2|976	22.03083	0.70538	2693567
k__Bacteria|p__Actinobacteria	2|201174	5.18109	0.16589	370764
k__Archaea|p__Euryarchaeota	2157|28890	2.0585	0.06591	116187
k__Bacteria|p__Verrucomicrobia	2|74201	0.33634	0.01077	30054
k__Bacteria|p__Proteobacteria	2|1224	0.2741	0.00878	37399
k__Bacteria|p__Lentisphaerae	2|256845	0.22465	0.00719	37403
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.62512	2.13321	5932887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	22.03083	0.70538	2693567
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.71195	0.08683	194417
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.46914	0.07906	176347
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.12521	0.06805	155621
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.0585	0.06591	116187
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.05378	0.03374	82827
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.33634	0.01077	30054
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.22465	0.00719	37403
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12968	0.00415	18232
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.09036	0.00289	6292
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08723	0.00279	14315
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05718	0.00183	4852
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	66.62512	2.13321	5932887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	22.03083	0.70538	2693567
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.46914	0.07906	176347
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.43612	0.078	170800
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.12521	0.06805	155621
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.0585	0.06591	116187
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.05378	0.03374	82827
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.33634	0.01077	30054
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.27583	0.00883	23617
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.22465	0.00719	37403
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.12968	0.00415	18232
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.09036	0.00289	6292
