X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified	2|1239|186801|186802|186806|	  0.00187	 0.00754	NA	NA	NA	 0.00769	NA	NA	NA	 0.01745	NA	NA	NA	  0.01124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.02929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.00066	 0.00047	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella	2|1239|186801|186802|31979|1649459	  0.00153	NA	NA	NA	NA	NA	NA	NA	 0.00294	 0.00335	NA	  0.01857	NA	  0.22901	 0.00217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.01711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	  0.00146	NA	 0.10612	NA	NA	NA	 0.00115	 8.01675	 0.02454	 0.07488	 0.03446	NA	  0.00613	NA	 0.15009	 0.00086	  0.54860	 0.59848	 3.59323	  0.06280	  0.61154	 0.00619	 0.10099	 0.92920	NA	  0.94869	  9.72249	 0.11754	  0.00346	  0.00488	 0.25016	  0.55326	NA	NA	  1.30189	  1.18031	  0.40268	NA	NA	 0.16967	15.55019	  4.13614	  0.02288	11.72844	NA	NA	 0.22886	NA	  0.00272
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	2|201174|84998|84999|84107|1472762	  0.00124	 0.02516	 0.23211	NA	 0.00276	 0.00134	 0.00951	 0.00655	 1.53897	 0.01143	 0.00268	NA	  0.00111	  0.94809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.01069	NA	NA	NA	NA	NA	NA	 0.01341	NA	NA	NA	NA	NA	NA	NA	  0.00084	NA	NA	NA	 0.02113	 0.00746	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	2|1239|186801|186802|541000|244127	  0.00067	NA	NA	NA	NA	 0.02224	NA	NA	 0.07524	 0.00351	NA	  0.00244	  0.00803	  0.00459	NA	NA	  0.00241	NA	 0.03068	  0.33756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.02466	NA	  0.01081	NA	  0.11952	  0.02916	NA	NA	NA	NA	 0.02159	  0.07562	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	2|1239|526524|526525|128827|61170	  0.00056	NA	NA	 0.00831	NA	 0.00909	NA	NA	NA	 0.02331	NA	NA	NA	  0.02584	NA	NA	NA	NA	NA	NA	NA	NA	 0.04324	NA	NA	NA	NA	NA	NA	  0.08335	NA	NA	NA	 0.01493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.01343	  0.02284	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	2|1239|186801|186802|541000|1263|40518	 21.69081	 1.43256	NA	NA	 8.83129	 8.79688	 3.41570	NA	NA	 9.14496	 8.58894	  5.38727	  4.71662	  0.02600	19.36153	NA	NA	 4.57910	 0.08284	  0.74761	  0.96579	 3.15951	13.00829	NA	 6.36230	NA	  2.71469	 2.78353	NA	  3.28244	 0.40644	NA	  0.08074	 6.15776	NA	NA	  0.60254	  0.00857	  0.36797	 0.26528	NA	  2.54123	  0.89115	 3.47235	  8.60340	 3.61796	 3.70764	NA	  3.49101
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	 17.75124	 3.13057	 0.96459	NA	 2.06736	 6.32479	 2.53850	 9.78718	NA	10.96703	 1.00038	  0.69924	  0.12242	  0.51130	20.17500	 1.86102	  0.09374	 1.30797	11.17502	  1.63764	  2.09082	 1.14509	 0.27807	 6.58950	 9.92314	  4.56427	 14.50555	 0.07782	  9.76330	 20.32125	 0.72794	NA	NA	 0.64065	NA	 24.74174	  0.14078	  0.09141	NA	 0.55908	 2.02925	  9.41311	  7.61361	28.63925	  1.45597	 5.01192	 8.32093	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	2|1239|186801|186802|186806|1730|39488	  7.23653	 1.02485	 1.61376	 1.14361	 2.70121	 2.29957	 0.55453	 0.53858	NA	 0.57964	 0.72944	  1.05525	  1.27154	  0.75845	 1.35570	 1.68579	  0.23729	 0.22279	 0.22742	  0.18816	  0.12635	 0.17733	 0.21076	 0.08609	 0.04919	  0.69125	  1.52149	 0.74171	  0.29907	  0.10455	 0.16905	  1.11558	  1.06630	 1.65030	  0.10630	  0.05558	  0.18009	NA	  0.03966	 0.09620	NA	  0.50019	  1.70856	 0.66147	  1.57606	 8.60200	 2.24375	  0.08464	  1.13707
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	2|1239|186801|186802|541000|216851|853	  6.37222	 2.42820	 6.08796	 6.91228	13.10555	 9.46824	 5.38101	 5.28176	NA	 9.71355	 6.54083	  9.51388	  5.76257	  1.40883	 3.27163	 4.76909	  4.81089	 4.25357	 6.26275	  2.23882	  1.53246	 4.65034	 9.46803	 3.24865	 2.46819	  4.06723	  8.51197	 0.89942	 14.27930	 12.74758	 7.28801	 12.27212	  2.09342	 8.55742	  4.14602	 10.64071	  6.63088	  0.02405	  3.47990	 3.31471	 0.63028	  5.67356	 10.88287	 1.06860	  3.57161	 4.56868	 6.12320	  7.83250	  8.43523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	2|1239|186801|186802|541000|1263|1160721	  4.60082	 7.06840	 5.78279	15.71050	 0.22141	 1.37835	 0.02406	 3.12752	 2.42422	 0.21803	 3.92445	  2.30833	NA	NA	 0.79948	 4.61086	  0.39326	 0.26245	 0.42105	NA	  0.08813	NA	NA	NA	NA	  0.02537	  0.02768	NA	  2.56601	NA	 0.92043	  0.08890	NA	 4.45003	  0.09087	NA	  0.02104	NA	NA	 0.90513	NA	NA	  1.38808	NA	  1.00759	 0.03045	 5.88877	  2.76025	  0.24808
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	2|1239|186801|186802|186806|1730|39485	  3.78042	 0.27910	 2.60059	 6.54844	 2.55684	 1.47849	 1.43384	 4.39596	 5.08886	 1.72693	 0.41144	  8.07027	  3.13294	NA	 0.07690	 4.60374	  0.86580	 2.20927	 0.03466	  0.03468	  0.01287	 0.07227	 1.11998	 0.01488	 0.42242	  2.46765	  1.71941	 2.78689	  2.07798	  0.55032	 3.30384	  4.51269	NA	 0.31500	  0.09116	  0.31793	  0.56949	NA	  1.51400	 1.86596	NA	  0.47636	  0.18776	 0.88673	  0.37123	 0.22574	 2.64210	  0.93626	 15.35829
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2|976|200643|171549|171550|239759|28117	  3.44021	 4.52101	 5.56224	 2.28124	 8.28745	 7.38544	 0.00726	 0.69342	NA	 2.47174	 5.45772	  4.90797	  3.48019	  4.78982	 0.03593	 4.18773	  0.26640	 4.51919	 4.75271	  3.06508	  0.00954	 0.09966	 5.02179	 5.92853	NA	NA	  0.57168	NA	  5.88930	NA	 8.47043	NA	NA	 6.06298	  1.57443	  0.01921	  2.61731	  1.08960	NA	 0.05827	NA	  1.81717	  8.85214	 1.03433	  5.32515	 3.01542	 0.71294	  2.44681	  2.64782
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	  3.37639	 5.75657	18.27044	 2.95243	 0.53260	 3.71694	 0.16898	 0.36455	 6.62824	 5.68630	 2.60899	  7.07314	  0.83174	 12.88435	NA	 5.82560	  0.29503	 0.92549	 2.84171	  0.29445	  0.05677	 2.74335	 9.38346	 1.56230	 0.97634	NA	  0.76473	 0.17818	  4.96185	 20.80961	 1.52570	  0.07887	  0.24915	 9.02609	  0.85479	  1.52517	  0.02347	  0.22976	 27.64658	12.62709	 0.01295	  0.66096	  3.89036	 0.79714	 10.28587	 0.82364	 1.94155	  2.36572	  4.11749
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	2|1239|||||1262992	  3.33099	 0.11281	NA	 0.34524	 0.25240	 0.01574	 0.01012	 0.00217	 4.48822	 1.18268	 0.67951	NA	  1.08267	  2.03260	NA	 0.15907	  0.10246	 0.09055	 0.17882	  0.11832	  0.03241	 0.50364	 0.01900	NA	 0.06557	  0.01368	  1.26507	 0.01226	  0.05899	NA	 0.02961	  0.17245	NA	 3.39412	  0.04021	  0.03151	  0.08906	  0.72146	  0.11433	 0.27604	 0.07774	  0.30483	  0.17165	 0.07886	  0.94936	 0.26843	 0.11837	  1.62286	  0.05362
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	2|976|200643|171549|2005519|397864|487174	  2.41981	 2.99581	 2.19351	NA	 0.36694	 2.58465	 0.01384	 0.35738	NA	 1.49488	 3.72457	  1.16545	  0.29891	  3.91175	NA	 2.78523	  0.02621	 0.36126	 0.72814	  0.50183	NA	 3.50667	NA	 1.81645	 0.04495	NA	  0.03691	NA	  1.54624	NA	 1.41274	NA	NA	 0.77547	  0.26091	NA	  0.32999	NA	NA	 2.79266	NA	  0.74658	  1.34359	 0.04541	  2.67881	 0.47007	 0.21334	  1.62517	  1.59252
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	  2.23270	 2.47546	 0.49769	 0.48914	 2.41259	 1.84490	 1.18098	 2.70785	NA	 3.51479	 2.83987	  1.41890	  0.69355	  4.27956	NA	 1.23812	  0.59536	 3.78389	 1.95223	  0.76821	  1.67485	 2.70783	 0.31274	 2.75629	 4.36096	  2.00691	  8.92500	 2.32119	  1.76850	NA	 2.33345	  1.16255	  1.36142	 4.67709	  7.13936	  3.24344	  3.61551	  0.27857	NA	 1.11806	 0.10287	  9.11913	  0.98338	 2.63683	  1.90729	 4.62992	 3.21830	  1.75860	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	2|1239|186801|186802|186803|189330|88431	  2.14836	 1.62719	 1.17868	 1.65028	 2.23978	 1.44785	 0.97298	 3.01214	 4.30921	 1.82857	 1.62965	  0.79686	  2.04256	  0.88650	 0.47905	 1.03762	  0.59609	 1.17452	 0.53781	  0.69332	  0.33993	 1.77043	 0.52591	 0.35862	 0.43909	  0.24444	  2.07023	 0.50853	  0.31063	NA	 0.45094	  1.13827	  0.83365	 2.65772	  0.45221	  0.01898	  1.63116	NA	  0.11850	 0.41395	NA	  1.66136	  0.87155	 0.21770	  2.24242	 0.42144	 2.73019	  3.75140	  0.46836
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	2|1239|186801|186802|541000||39492	  1.68548	 0.03586	 0.04783	NA	 0.18884	 0.24490	 2.28814	 0.17231	NA	 0.11554	 6.81709	  2.89930	NA	NA	 9.19402	 1.27596	NA	NA	 0.39981	NA	NA	 0.94236	 0.38977	 0.28436	 0.06960	  0.03371	NA	 0.03273	NA	NA	NA	NA	  0.20538	 0.40062	NA	NA	NA	NA	NA	 1.64672	 0.02368	  0.04013	NA	 0.75099	NA	 0.16087	 0.02471	  0.04473	  0.05614
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2|1239|186801|186802|186803|207244|649756	  1.55642	 0.27916	 2.47607	 2.21742	 2.69391	 0.38479	 0.44534	 0.24583	 8.54946	 4.06540	 0.98168	  0.29740	  0.58727	  0.25522	 2.07076	 2.44957	  0.12042	 2.42990	 0.02022	  0.50241	  0.04900	 0.15951	 4.01065	 0.01705	 0.82150	  0.10595	  0.46282	 0.11888	  0.03978	  0.31516	 0.05343	  0.42728	  0.54832	 0.64518	  0.38095	NA	  0.29649	  0.00311	  0.55990	 0.04487	NA	  0.04684	  0.52448	 0.03517	  6.01894	 3.35716	 1.35402	  2.85672	  5.11951
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	2|1239|186801|186802|186803|1407607|1150298	  1.50009	 2.86822	 4.27425	 7.54254	 1.96669	 2.93443	 1.27683	 1.75493	 2.25331	 3.26775	 1.57061	  3.84779	  0.19137	  0.24582	 2.96461	 1.48883	  0.25501	 0.56745	 0.61965	  0.13408	  0.11167	 1.64436	 1.45704	 0.11586	 0.73379	  0.16552	  1.03599	 0.70162	  4.04788	  2.97900	 0.28148	  2.17245	  0.53663	 3.07114	  0.18880	  1.16406	  0.76470	NA	  0.88653	 0.71097	 0.02648	  1.10730	  2.58206	 0.00996	  6.24515	 3.85349	 7.87471	 10.70006	  2.59441
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	2|1239|91061|186826|1300|1301|1308	  1.30498	NA	 0.35308	 1.18509	NA	NA	 0.02447	 0.12654	 4.79044	 0.54941	 0.64421	NA	NA	  0.02040	NA	 0.13557	  0.01153	 0.15544	 0.01256	NA	NA	 0.03171	NA	NA	NA	NA	NA	NA	  0.64169	  0.04586	 0.02933	  0.70748	NA	 0.15941	NA	NA	NA	NA	  0.09076	 0.19961	 0.14745	NA	  0.00696	 0.18682	NA	 0.00271	 0.21450	  0.01893	NA
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	2|74201|203494|48461|1647988|239934|239935	  1.04496	 0.04551	 1.71622	NA	 0.33634	 0.81820	 0.03446	 0.05942	NA	 0.97817	NA	  3.08513	  0.58026	NA	 0.57852	 0.01379	NA	11.17444	 0.58064	  0.65661	NA	NA	 1.72939	 0.07851	 5.32118	NA	  6.23191	NA	  1.93097	NA	 0.01857	NA	  1.39059	 0.50663	  0.05612	  0.69741	NA	  0.46466	  1.12384	 1.64652	 0.00442	  0.08307	NA	 1.19102	  5.79041	 1.63215	NA	  4.88408	  0.02149
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94	2|1239|||||1262989	  0.95670	 0.37949	 0.02052	NA	NA	 0.07350	 0.01035	 0.04113	NA	 0.49452	 0.13529	  0.12122	NA	  0.24372	 1.66664	NA	NA	NA	 0.12065	NA	NA	NA	 0.02974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.10954	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.30460	NA	 0.08132	 0.06620	  0.00064	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	2|1239|186801|186802|186803|841|166486	  0.91924	 0.60353	 0.38102	 0.01813	 0.17864	NA	 1.14932	 0.00257	 1.07655	 0.01017	 0.25507	  0.10170	  0.06759	NA	 0.44302	NA	  0.16344	NA	 0.01388	  0.30732	  0.07744	 0.43365	NA	 0.10326	NA	  0.45548	NA	 0.02025	NA	 14.91572	 0.40805	  0.14238	  0.85297	 0.01810	  0.31055	  0.32399	NA	NA	  1.12043	 0.97649	 0.00126	  0.20505	  0.68101	 0.02075	  0.83338	NA	 1.13044	  1.67438	  0.55644
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	2|1239|186801|186802|186806|1730|39490	  0.90130	 0.04547	 0.28893	 0.28769	 0.59080	 0.43795	 0.17988	 0.03712	NA	 0.09832	 0.04422	  0.52967	  0.23955	  0.79074	NA	 0.49095	  0.07524	 0.12159	NA	  0.03408	  0.02033	 0.40445	 0.31850	 0.05623	 0.01134	  0.19814	  0.14069	 0.26791	  0.06039	NA	 0.03951	  0.23049	  0.11325	 0.17722	  0.01927	NA	  0.33184	NA	  0.09432	 0.03672	 0.00106	  0.22351	  0.22079	 0.02083	  1.20468	 0.07891	 0.11310	  0.59324	  0.15202
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	  0.85408	 0.16998	 3.44014	 0.04425	NA	NA	NA	 0.17071	18.56144	 0.35798	 0.42307	NA	  0.73510	  1.01101	NA	 6.11302	  0.04074	 0.03466	 0.61026	  0.07031	NA	 0.62637	 0.30865	 0.29027	 1.50115	NA	  0.19647	NA	  0.46714	NA	10.34321	  0.01927	  0.01004	 0.00884	NA	NA	  0.07411	NA	NA	 1.01354	 0.01528	NA	  8.95805	 0.04987	NA	 2.16615	 8.73522	  2.24559	  7.46988
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	2|1239|186801|186802|186803|572511|40520	  0.72301	 1.05624	 0.98405	 0.39458	 0.86903	 1.74697	 0.23386	 2.34362	NA	 0.81122	 0.90456	  0.00587	  2.52299	  1.13603	 0.55586	 0.19260	  0.41899	 0.20603	 0.10974	  0.00859	  0.03968	 0.46711	 0.60500	 0.43467	 0.16279	  0.05853	  0.35601	 0.07965	  0.24751	NA	 0.35077	  0.18313	  0.02238	 2.72281	  0.06799	  0.01758	  0.41170	NA	  0.20722	 0.09813	 0.00669	  0.35297	  0.72445	 0.25535	  0.76363	 1.83397	 0.81496	  0.57212	  0.11162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	2|1239|186801|186802|186803|572511|33039	  0.64851	 0.29957	 0.16157	 0.07343	 1.35344	 0.59122	 0.84174	 1.39993	NA	 1.01971	 1.18984	  1.05154	  1.40938	  0.33527	 0.46538	 1.08529	  0.67578	 1.30878	NA	  0.03972	  0.12118	 3.54464	 0.40134	 0.12935	 1.43552	  0.42731	  0.13181	 2.69952	  0.15904	NA	 0.18078	  1.19483	  0.01654	 4.71184	  0.09026	  0.00387	  0.21645	NA	  0.02968	NA	 0.08401	  1.36992	  0.35146	NA	  3.63818	 3.99028	 2.98072	  2.35616	  0.29348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_An249	2|1239|186801|186802|186803|572511|1965603	  0.59829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	2|1239|186801|186802|31979|1485|1262777	  0.56360	 0.06307	 0.06111	NA	 0.12501	 0.19530	NA	 0.10790	NA	 0.08668	 0.02102	NA	NA	NA	 0.19793	 0.11126	  0.00992	NA	NA	  0.02453	NA	NA	 0.26054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.02859	NA	NA	 0.34951	 0.11663	  0.04149	  2.46712
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2|976|200643|171549|815|816|47678	  0.53952	 0.36483	NA	NA	 0.56283	NA	 0.41566	 0.90149	NA	NA	 0.65098	  1.17609	  0.33022	 17.99729	NA	NA	NA	 0.64180	 0.48068	  1.12034	NA	NA	 0.29734	 1.11589	 0.44211	  0.04097	  1.96689	NA	  0.76373	NA	 0.11592	NA	  0.76081	 0.11383	  0.35874	  0.18541	  0.04636	  0.01995	NA	 2.97976	 0.39105	  0.25209	  0.77509	 0.20770	  0.11020	 0.18405	 0.07836	  0.64538	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	2|1239|186801|186802|186803|189330|39486	  0.51761	 0.33035	 0.23241	 0.37117	 0.77077	 0.40327	 0.25824	 0.64609	NA	 0.26572	 0.36535	  0.37186	  0.64098	  0.42364	 0.17227	 0.46733	  0.23167	 0.37023	 0.18195	  0.06162	  0.37053	 1.85342	 0.30522	 0.16238	 0.43757	  0.14609	  1.12962	 0.70446	  0.27921	  0.36445	 0.21078	  0.70163	  0.29601	 0.93687	  0.12599	NA	  0.25797	  0.00579	  0.04375	 0.18302	 0.03785	  0.42470	  0.37878	 0.27566	  1.16968	 0.55950	 0.56498	  0.73168	  0.25888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	2|1239|186801|186802|541000|2048137|1628085	  0.48752	 1.42751	 0.41117	 0.45726	 0.04028	 0.61835	 0.35505	 0.22591	 0.00366	 0.38991	 0.15536	  1.43179	  0.52828	NA	 0.03983	 0.24931	  0.63789	 0.61699	 0.20296	  0.01592	  0.03199	 0.20081	 0.41819	 0.18208	 0.22967	  0.00375	  0.31828	 0.71724	  0.84172	  1.11049	 0.08589	  1.03071	  0.49028	 0.35784	  0.45853	  0.57939	  1.60829	NA	  0.07888	 0.16418	NA	  0.22879	  0.07955	 0.07772	  0.63518	 0.28719	 0.56759	  0.50046	  0.50645
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	2|976|200643|171549|1853231|283168|28118	  0.46331	 0.55313	 0.62882	 0.38278	 0.98540	 0.80778	 0.45143	 0.36462	 0.36459	 0.24654	 1.02942	  0.81234	  0.63526	  0.64751	NA	 0.94680	  0.37157	 0.31870	 0.44871	  0.32561	NA	 0.78019	 1.04230	 0.25135	 0.39829	NA	  0.71730	 0.33406	  0.39315	NA	 1.00504	NA	  0.24253	 0.31740	  0.13576	  0.07946	  0.04084	NA	NA	 0.81976	NA	  0.46809	  0.33054	 0.45121	  0.42399	 0.44233	 0.24642	  0.44856	  0.47706
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	2|976|200643|171549|171550|239759|1501391	  0.45863	 0.06797	 0.25392	NA	NA	 0.29555	 0.90352	 0.81974	 0.94981	 0.21167	 1.37805	  0.56112	NA	NA	NA	 0.24109	NA	NA	NA	NA	NA	NA	 0.22222	 0.07035	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.10820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.08340	NA	  0.40496
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	2|1239|186801|186802|186803|572511|418240	  0.44237	 0.04823	 0.40728	 2.31003	 0.82813	 1.42173	 0.29242	 0.02540	 0.01429	 0.05310	 0.03630	  0.18139	  0.34995	  0.05159	 0.13442	 0.07524	  0.07542	 0.26589	 0.32028	  0.16262	  0.03994	 0.22622	 0.11250	NA	NA	NA	  0.01487	 0.14955	  0.19877	  0.38014	 0.02540	  0.35883	  0.40751	 0.96086	NA	  0.01136	  0.26000	NA	  0.45287	 0.00981	 0.00224	  0.42942	  0.76843	 0.06857	  0.23980	 0.46566	 0.34320	  0.18534	  1.86153
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	2|1239|909932|1843489|31977|39948|218538	  0.43523	NA	 0.21994	NA	NA	 0.30446	 0.89739	NA	 0.00321	 0.02644	 1.28837	NA	NA	NA	 0.12815	 0.17358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.02729	NA	NA	NA	NA	NA	NA	NA	NA	 0.88880	  0.63310	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2|976|200643|171549|2005525|375288|823	  0.43463	 0.13049	 1.73865	 0.24913	 0.77576	 0.66690	 0.04825	 0.20997	 0.65138	 0.98132	 0.64200	  0.78415	  0.95635	  1.49936	NA	NA	  0.63915	 0.43829	 1.25275	  0.35747	  0.05135	 1.75065	 1.05335	 1.26809	 0.61464	  0.00268	  0.36407	 0.80770	  0.11952	  1.72288	 0.18738	NA	  0.31174	 0.37988	  0.11782	  0.12065	  0.20103	  0.02184	  0.61433	 0.76750	 0.02844	  0.32411	  1.12160	 0.94958	  0.92544	 0.55287	 0.85982	  0.16763	  0.44453
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	2|1224|28216|80840|995019|577310|487175	  0.40669	 0.15164	 0.06256	 0.73436	 0.03438	 0.03256	NA	NA	 0.04453	 0.01916	 0.04577	  0.01169	  0.00752	NA	 0.07086	 0.66832	NA	NA	 0.35998	  0.10044	NA	NA	 0.92399	 0.01709	 0.02317	NA	NA	NA	  0.82127	  0.26666	 0.02561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  2.31289	NA	  0.10140	 0.01078	NA	NA	  0.05356
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	2|1239|186801|186802|541000||1535	  0.38154	 0.03639	 0.00212	 0.01731	 0.01769	 0.02037	 0.00320	 0.00092	 0.01802	 0.04929	 0.02714	  0.61250	  0.00391	  0.00934	 0.16824	 0.01039	NA	NA	NA	NA	NA	NA	 0.00977	NA	NA	NA	  0.06044	NA	NA	NA	NA	NA	NA	 0.05023	NA	NA	NA	NA	NA	 0.00069	NA	NA	NA	 0.00214	  0.04447	 0.21620	 0.01623	  0.00780	  0.00173
