X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	  0.09422	 0.94107	 0.05600	 2.73450	NA	 0.12780	 1.92557	 1.06827	 0.33301	 2.18305	 0.18807	  1.39393	  0.60929	  0.70007	 0.24203	 0.25376	  0.15686	 0.23616	 0.04953	  0.25691	  0.33185	NA	 0.04324	 0.24179	 0.73920	  1.04130	  0.73427	 0.39216	NA	  0.12005	NA	  0.22707	NA	 1.50223	NA	NA	NA	  1.07517	  0.03805	 0.08820	 0.00222	  0.11078	NA	 0.36578	NA	 0.03710	 0.01343	  0.15716	NA
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	  0.02246	 0.00283	 0.62747	 0.03297	NA	NA	NA	NA	 0.61543	NA	NA	NA	NA	  0.02707	 0.03135	 0.04720	NA	NA	 0.00913	NA	NA	NA	 0.05727	NA	NA	NA	NA	NA	  0.03454	  1.35313	 0.05974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.10330	NA	  0.05979	NA	NA	NA	NA
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	  0.00513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.06365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.02556
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	  0.00297	NA	 0.02614	NA	 0.12968	 0.06019	 0.01419	 0.04450	 0.12507	 0.00579	 0.95998	  0.44096	  0.06474	  0.08625	NA	NA	  0.03739	 0.24029	 1.99920	  0.26756	NA	 2.56430	 0.07656	 0.06832	 1.34152	  0.01422	  0.23074	 0.52476	  0.03041	NA	 0.05088	  0.02276	  0.02214	 1.04441	  0.02241	  0.01266	  0.02066	  0.21208	  0.14789	 1.06207	NA	  0.34550	  0.12172	 1.78803	  0.00275	 0.35194	 0.17817	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	 35.36413	13.07798	14.98647	23.80550	22.66713	21.13103	12.00049	11.81981	 3.69509	22.74164	26.55738	 25.78479	 11.89727	  3.42689	35.83663	11.61736	  6.38687	10.20852	 8.30395	  3.98648	  2.71713	10.01692	24.62643	 5.66734	10.53256	  4.50493	 16.82904	 7.47962	 18.08297	 18.37661	 9.54084	 13.72963	  3.13754	21.02056	  5.08086	 13.73433	  9.22109	  1.45349	  4.60302	 7.98755	 0.68357	 10.39901	 14.19996	 6.64905	 15.20452	11.95284	17.39463	 14.59349	 12.98990
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	 17.75124	 5.71543	 1.26414	NA	 2.46914	 7.18877	 4.04987	10.98045	 0.15402	14.54163	 3.76377	  1.77936	  0.24393	  1.51576	25.09627	 4.70072	  0.09524	19.89292	12.59750	  1.63764	  2.10464	 1.19370	 1.50100	12.04537	13.08962	  7.99584	 27.50732	 0.29911	 12.32395	 27.00552	 0.78802	  1.06372	  0.23720	 0.89317	  1.27303	 28.74626	  0.55617	 46.61124	NA	 0.59752	 2.32813	 10.13783	  9.64619	31.84734	  2.06107	16.28585	11.96482	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	 11.94823	 1.93788	 5.52460	 9.66596	 7.15729	 5.27992	 3.66446	14.92965	 5.12595	 5.69934	 1.70552	 11.67057	  4.77797	  5.76696	 1.48706	 7.40620	  1.22894	 4.11806	 1.77986	  2.09197	  0.84168	 3.18431	 1.76575	 2.60980	 5.84253	  4.03149	  3.48685	 5.42178	  3.14667	  0.98083	 4.37144	  8.26914	  1.52284	 2.38338	  0.69711	  0.77374	  1.15346	  0.08087	  1.98249	 2.29089	 0.12069	  3.60324	  3.34466	 1.61139	 13.35415	15.65914	12.69793	  1.83159	 17.96862
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	 10.07559	37.03440	28.07810	23.14206	35.15519	18.85340	23.64469	28.99454	25.68223	24.65593	18.69510	 15.84650	 19.87864	  8.78597	10.40772	27.41598	  8.18803	13.66009	18.55403	 18.51487	  2.27768	19.79165	17.65587	13.73563	 9.09202	  7.86753	  9.35004	56.38036	 23.03500	 21.49487	 7.97926	 15.82601	 10.93563	32.70996	  8.46904	  3.71549	 10.01477	  0.25850	  6.92719	13.24857	 0.81743	 19.87668	 22.39180	13.62531	 30.05898	22.54994	27.22658	 51.56675	 44.46911
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	  5.12001	 8.73154	32.10913	29.05097	 9.29147	17.03011	 5.64577	 4.47019	36.73027	12.04013	17.53283	 23.81343	 14.67120	 45.42621	 5.36640	16.79526	  1.71119	 3.84995	 8.77043	  7.18966	  0.78965	 6.19089	24.11867	 8.36613	 3.99459	  0.13274	  5.81084	 2.89724	 23.16228	 27.08791	15.86041	  0.29705	  1.78169	14.30248	  1.66407	  5.88645	  2.64108	 17.17390	 75.23454	53.80201	 0.49825	  3.23038	 29.60427	 5.23360	 18.84033	 7.48957	17.06885	  6.32777	 14.04964
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	  4.37376	 7.22845	 0.07580	 0.48078	 1.05378	 0.10778	 0.27001	 2.01278	 4.48822	 1.86507	 1.87577	  0.17650	  1.11582	  2.29309	 1.69007	 0.60993	  0.23100	 0.25095	 1.26901	  0.64051	  0.06977	 4.35735	 1.59340	 1.82312	 2.49048	  0.17391	  2.22925	 1.67998	  0.18569	NA	 0.15158	  0.64526	  0.00880	 4.44981	  0.08836	  0.09940	  0.08906	  0.72146	  0.11433	 0.42150	 0.42755	  0.33715	  0.17165	 1.44138	  1.13340	 1.79261	 0.47115	  1.67803	  0.33127
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	  4.21564	 5.08457	 7.16808	 2.48233	 9.70521	15.94130	 0.93431	 1.68764	 1.56274	 3.16424	10.77676	  7.49780	  4.21373	 12.11506	 0.03593	18.87956	  0.65345	 4.55347	 6.93587	  4.21477	  0.01285	 0.60285	 6.16749	 6.56924	10.52437	NA	  0.84224	 0.00700	  7.88616	NA	 9.43324	  0.83817	  0.02732	 6.75305	  1.82384	  1.24091	  2.77356	  1.94554	  5.39318	 1.78924	 0.24221	  2.28999	  9.59698	 1.37542	  5.53665	 3.50515	 1.12743	  5.22731	  3.25170
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	  2.54257	 3.02243	 2.19351	 0.00841	 0.83077	 2.58465	 0.01384	 0.35922	NA	 1.66835	 3.75014	  1.26039	  0.32224	  4.02196	NA	 2.78523	  0.02621	 0.38670	 0.72814	  0.50183	NA	 3.52223	 1.96360	 2.21892	 0.12053	NA	  0.05115	NA	  1.54624	NA	 1.41947	NA	NA	 0.77547	  0.29769	NA	  0.33656	NA	NA	 2.79266	NA	  0.76382	  1.38319	 0.04541	  2.69569	 0.60440	 0.46062	  1.82144	  1.67734
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	  2.26230	 2.58824	 0.73367	 0.49315	 2.43612	 1.87202	 1.20899	 2.74956	 1.53897	 3.54668	 2.84581	  1.70365	  0.70537	  5.27709	NA	 1.25030	  0.59536	 3.78389	 1.96874	  0.77290	  1.67967	 2.74043	 0.31385	 2.75629	 4.36096	  2.01410	  9.06044	 2.32288	  1.77451	NA	 2.33345	  1.16409	  1.37263	 4.74565	  7.17170	  3.25269	  3.63135	  0.27857	NA	 1.11996	 0.10352	  9.15165	  0.98338	 2.66879	  1.91066	 4.68587	 3.25171	  1.76913	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	  1.40872	 0.49654	 0.47333	 1.39898	 0.09036	 0.24430	 0.18507	 0.12654	 4.82736	 0.85075	 0.66618	  0.03293	  0.07863	  0.76434	 0.00856	 0.24560	  1.03961	 1.46992	 0.14904	  0.01804	  0.06288	 0.03619	 0.00285	 0.00636	NA	  0.64299	  0.09686	NA	  0.66215	  0.05318	 1.66415	  4.95821	NA	 0.20361	  0.24006	NA	  1.49868	  0.33510	  0.12926	 1.53369	 1.51423	  1.87667	  0.00949	 0.30644	  0.05596	 0.01388	 0.38399	  0.07556	  0.17040
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	  1.04496	 0.04551	 1.71622	NA	 0.33634	 0.81820	 0.03446	 0.05942	NA	 0.97817	NA	  3.08513	  0.58026	NA	 0.57852	 0.01379	NA	11.17444	 0.58064	  0.65661	NA	NA	 1.72939	 0.07851	 5.32118	NA	  6.23191	NA	  1.93097	NA	 0.01857	NA	  1.39059	 0.50663	  0.05612	  0.69741	NA	  0.46466	  1.12384	 1.64652	 0.00442	  0.08307	NA	 1.19102	  5.79041	 1.63215	NA	  4.88408	  0.02149
