X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	2|1239|186801|186802|541000|2048137|1628085	   51027	 102072	   58012	   50551	   3623	   60901	   47111	  22183	     496	   51789	  11007	  347364	   89052	NA	   3464	   27849	  29211	  21131	   7944	    675	   2108	   4986	   38650	   7548	   5133	    178	   7377	  22990	  38416	  71312	   4410	  38894	   44682	   47903	  16286	  27263	  82227	NA	    7412	   14414	NA	  18260	   4874	   3304	   70963	  27711	   76976	   52445	   70934
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	2|976|200643|171549|1853231|283168|28118	   72737	  59324	  133075	   63474	 132950	  119334	   89845	  53704	   74128	   49116	 109397	  295607	  160621	  127725	NA	  158636	  25521	  16371	  26345	  20736	NA	  29060	  144490	  15630	  13352	NA	  24938	  16061	  26914	NA	  77412	NA	   33153	   63732	   7232	   5608	   3131	NA	NA	  107953	NA	  56037	  30378	  28780	   71049	  64020	   50126	   70507	  100222
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	2|976|200643|171549|171550|239759|1501391	   39381	   3987	   29391	NA	NA	   23881	   98354	  66037	  105626	   23065	  80100	  111683	NA	NA	NA	   22093	NA	NA	NA	NA	NA	NA	   16849	   2392	NA	NA	NA	NA	NA	NA	NA	NA	NA	   11883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    9279	NA	   46532
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	2|1239|186801|186802|186803|572511|418240	   73673	   5487	   91433	  406359	 118528	  222809	   61738	   3968	    3082	   11221	   4092	   70023	   93865	   10795	  18599	   13372	   5495	  14490	  19947	  10986	   4188	   8938	   16543	NA	NA	NA	    548	   7627	  14435	  38843	   2075	  21545	   59095	  204668	NA	    850	  21151	NA	   67716	    1370	    286	  54536	  74919	   4640	   42628	  71496	   74061	   30905	  414867
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	2|1239|909932|1843489|31977|39948|218538	   30743	NA	   20942	NA	NA	   20236	   80358	NA	     293	    2370	  61602	NA	NA	NA	   7520	   13085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   1159	NA	NA	NA	NA	NA	NA	NA	NA	   81348	   44774	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2|976|200643|171549|2005525|375288|823	   82362	  16893	  444131	   49865	 126339	  118922	   11591	  37328	  159861	  235987	  82352	  344434	  291873	  356995	NA	NA	  52991	  27177	  88782	  27479	   6127	  78709	  176258	  95182	  24871	    230	  15278	  46874	   9876	 200312	  17420	NA	   51438	   92069	   7576	  10278	  18609	   2489	  104521	  121998	   4133	  46834	 124425	  73110	  187189	  96588	  211125	   31804	  112726
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	2|1224|28216|80840|995019|577310|487175	   42905	  10929	    8896	   81831	   3117	    3232	NA	NA	    6084	    2565	   3268	    2857	    1276	NA	   6211	   75247	NA	NA	  14202	   4298	NA	NA	   86074	    714	    522	NA	NA	NA	  37781	  17259	   1325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 142843	NA	   11417	   1048	NA	NA	    7561
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	2|1239|186801|186802|541000||1535	   45960	   2994	     344	    2202	   1831	    2309	     489	    103	    2811	    7534	   2213	  171023	     759	    1412	  16838	    1336	NA	NA	NA	NA	NA	NA	    1039	NA	NA	NA	   1612	NA	NA	NA	NA	NA	NA	    7738	NA	NA	NA	NA	NA	      70	NA	NA	NA	    104	    5718	  24010	    2532	     940	     278
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	2|976|200643|171549|2005525|375288|46503	   44181	   1036	NA	   47890	  58367	  352324	   19499	 113428	  326954	   90531	  63152	  488259	  177493	  419767	NA	  223156	  19797	   2237	  20404	  90428	NA	NA	   54290	  55645	   8498	NA	   5192	NA	  56741	NA	 134981	NA	   53020	  168468	  16499	  44068	  31499	   2701	   85955	  550894	NA	  72896	 140736	  12818	   47509	  37683	  138771	  248397	NA
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	2|201174|84998|1643822|1643826|447020|446660	   23902	    806	   12943	   12072	   4878	   14163	NA	NA	NA	   46033	    866	   38555	     206	    6696	   5894	    2152	NA	NA	  11158	NA	NA	   3403	    2267	   1992	NA	NA	   1698	NA	   2985	NA	   1673	   1461	   18399	NA	   1045	    256	   7348	  41155	    5251	    5844	NA	   4305	   4807	   8465	    3999	   2480	    1314	NA	    5793
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257	2|1239|186801|186802|186803|572511|1262756	   21805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    2177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    1127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	2|976|200643|171549|1853231|574697|544645	   35541	NA	  143246	   18733	   2492	NA	    4932	   9227	  230394	     844	  30423	   33036	   27793	   15020	NA	NA	   7396	  12819	  12610	   1989	NA	   4130	    1424	   1712	    290	NA	   5014	NA	   9929	NA	NA	NA	NA	   28060	    916	NA	NA	NA	NA	   13174	   1869	   1222	   2856	  38673	    4689	   9961	   42152	   91946	    4432
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	2|1239|186801|186802|186803|841|360807	   27412	  14925	   76115	  100623	  74840	  288623	  101658	  36960	    2112	   38475	  29498	  123890	  121381	   81086	   8248	   97342	  11444	   7744	  38735	  13480	   6649	  42012	   75205	  14044	  39161	 133233	   9522	   1322	  82094	 132911	  52497	   2383	  141324	  107410	   1257	   7087	  16754	NA	   39067	  134066	  13598	 211096	  19478	NA	NA	   1820	   32315	  534279	    2522
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	2|201174|84998|1643822|1643826|553372|394340	   19405	   1577	   32941	    4389	   6004	   26022	NA	NA	NA	  105214	   1457	   79750	     673	    6261	  12093	    8029	NA	NA	  12442	     58	NA	    616	    3524	   4482	NA	NA	   1179	NA	   1762	NA	   2090	   1080	   42220	    1281	   1284	    223	   4750	  19696	    1646	    4906	NA	   8475	   7719	   4198	    8339	  10176	    3999	NA	   20374
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	2|976|200643|171549|171550|239759|328814	   19324	  19478	NA	    7454	  52626	    1001	    1867	   3827	   60846	   48337	  71307	  315786	   24024	   45775	NA	  143187	  18726	   1292	  17058	   6825	NA	  11847	   81097	  22829	   2578	NA	   5820	    170	  14060	NA	   9528	NA	    2742	    9385	   2514	  61840	   8176	   7693	NA	   82561	NA	   3227	  16538	   8574	     928	  40857	   14334	   13832	   18646
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2|976|200643|171549|815|816|818	   39221	   2968	NA	  139262	 106119	  122741	NA	NA	  929535	  153529	  42183	   87836	   21107	  663608	NA	  343544	   2084	  73896	  51957	 283732	  32781	  90802	  255002	   6297	  14257	NA	  17355	    933	   9644	 908246	NA	   8065	NA	    2577	NA	NA	   1441	NA	  292583	    1989	NA	NA	  78806	  82918	  118424	  20873	  210645	   46616	  252749
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	2|976|200643|171549|815|816|817	   30402	NA	  182983	NA	   3183	  137013	NA	NA	   98737	   12386	NA	   82466	NA	NA	 873443	   22941	NA	NA	  61209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1991631	NA	   63968	NA	NA	   9857	   7591	  224673	   3672	NA	NA	   30470
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	2|976|200643|171549|171550|239759|214856	   18736	  21302	  228946	   18558	  94641	  975436	    1712	  16189	     875	   16021	 255526	  158634	   55610	  375874	NA	 1781471	    862	NA	  80496	  45061	    262	    470	    6544	   3497	 278999	NA	   1183	     83	  93708	NA	  16723	  10771	NA	    9125	   7080	   1597	    676	  12357	  608328	    6338	  23336	  36936	  36753	   2738	   21529	   8312	   32757	  291780	   10849
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	2|976|200643|171549|2005525|375288|387661	   24745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   3043	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes	2|1224|28216|80840|75682|846|847	   12757	NA	NA	NA	NA	NA	NA	NA	NA	   10581	NA	NA	NA	NA	  16149	   13454	NA	NA	   1531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     851	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans	2|1239|186801|186802|186803|2039240|160404	   16800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	2|976|200643|171549|2005519|1348911|1099853	   15613	   2312	NA	NA	  50700	NA	NA	NA	NA	   15382	   2201	   27990	    4779	   17068	NA	NA	NA	NA	NA	NA	NA	    469	  220530	  19470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    407	NA	NA	NA	NA	   1672	   2948	NA	    2291	   6488	   34573	   24994	   14435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	2|1239|186801|186802|186803|841|301301	   20376	 281728	    5665	  561282	  28944	   30257	   46145	  50234	  206614	   91890	  65893	NA	   40751	NA	   7949	  148415	  15263	  23452	   1331	  64889	NA	NA	  187785	   4325	  26316	NA	NA	   3262	   9660	  10831	  99097	  11547	    6345	   71928	  31731	  14049	  20887	NA	   94683	   41395	   1771	  28375	  50791	  15615	   57315	  40253	   25704	  147120	   99405
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	2|1239|91061|186826|1300|1301|1304	    8535	  26491	    3402	    9605	   3901	   18915	   12289	NA	    3167	   25715	    121	    3432	    8746	   49766	    584	    4733	  19359	  22393	   3542	    602	   3000	     87	     206	    207	NA	  23223	     91	NA	    733	    369	  33703	  68896	NA	    3205	   6702	NA	  51158	NA	     340	   13726	  40881	  67740	    122	   3463	    3149	    595	    5031	    3927	   11001
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified|s__Candidatus_Gastranaerophilales_bacterium	2|1798710||1906119|||2137880	    8372	    317	NA	NA	NA	  192663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    174	NA	NA	    3422
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum	2|1239|186801|186802|186803|1506553|84030	   13055	NA	NA	NA	NA	NA	NA	NA	NA	   10680	NA	    1096	     825	    2195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   1013	NA	NA	NA	   12990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	2|1239|186801|186802|186803|1432051|1720294	   24107	NA	NA	NA	NA	NA	NA	NA	   89736	NA	NA	NA	NA	NA	  15944	NA	NA	NA	NA	NA	NA	NA	     364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     815	NA	NA	NA	    1430
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme	2|1239|526524|526525|128827|1505663|29348	    8483	NA	    7278	NA	NA	    9911	NA	NA	NA	NA	    585	NA	NA	NA	   9138	     334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   3159	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	2|1239|186801|186802|541000|1905344|1550024	   12557	  21240	   25460	    7114	   5544	    7376	    5627	   3725	  115107	   16698	  16662	   36881	   13365	  198006	  60380	   53209	NA	NA	   3791	NA	NA	NA	   13290	NA	NA	NA	  24940	  25914	   2373	NA	   3856	    608	    3521	   45135	NA	NA	NA	 110024	   39337	   31145	NA	    239	   1229	   6274	   17454	  55604	    2959	   25022	    2188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	2|1224|28216|80840|995019|1918598|1796652	    8976	NA	    1018	    9979	NA	NA	NA	NA	    1507	NA	NA	NA	NA	NA	    409	    1759	NA	NA	NA	NA	NA	NA	    2988	NA	NA	NA	NA	NA	   1169	    833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   5473	NA	    2042	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	2|1239|186801|186802||2172004|2108523	   12545	   6675	    2919	NA	NA	   12923	    3131	   4090	    6345	   43943	   2178	   32774	   10262	    7234	  15846	   10502	    361	NA	   1335	NA	NA	NA	    1898	NA	NA	NA	    814	NA	NA	NA	    621	   2057	    2183	   49047	NA	    266	NA	NA	    5063	    1546	NA	NA	NA	   1970	    1481	   5544	   19448	    3504	    1929
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145	2|1239|||||1263005	    4415	    688	     833	NA	NA	    1343	     115	    770	NA	    9542	   1530	NA	    4109	NA	   1498	    4026	NA	NA	NA	NA	NA	NA	    1102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   20145	NA	NA	NA	NA	NA	     251	NA	NA	NA	NA	   15121	NA	NA	NA	     151
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	2|1239|186801|186802|186803|572511|33038	    5835	 520352	     377	NA	NA	     332	NA	NA	  273041	NA	NA	    1697	NA	    5609	NA	NA	NA	NA	   2571	 414062	NA	NA	NA	NA	NA	NA	NA	NA	NA	   7060	NA	NA	NA	   98120	NA	NA	NA	NA	NA	   50227	NA	NA	NA	NA	    1801	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis	2|1239|186801|186802|186803|1769710|1653434	    5707	NA	NA	NA	NA	NA	NA	NA	   49313	NA	NA	NA	NA	NA	NA	NA	NA	NA	   1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  13052	   1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	2|1239|186801|186802|541000|946234|292800	    6077	   1185	    3708	NA	NA	    8530	NA	NA	   99499	    7752	NA	   37262	    3526	   95631	  15422	   16784	    864	NA	   5402	NA	NA	NA	NA	NA	NA	NA	   1430	   1886	NA	  93641	   3418	NA	    4290	   67044	NA	   1031	   1181	   3913	   26201	   17103	NA	   2184	NA	    106	    7141	NA	    6722	   10468	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica	2|1239|186801|186802|186803|572511|53443	    4139	NA	    1628	NA	NA	NA	NA	NA	NA	NA	NA	    1409	   36989	    9223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    2685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   55790	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	2|1239|||||1262988	    3303	   7016	NA	NA	  23712	NA	   10611	  22465	NA	    4529	  15082	NA	NA	    2424	NA	    2876	NA	NA	    576	   3950	NA	   1539	  142916	NA	   2022	NA	  18558	  46229	NA	NA	    588	   1090	     172	NA	NA	NA	NA	NA	NA	NA	NA	    295	NA	   6363	NA	   2629	    1807	NA	   33369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	2|976|200643|171549|815|816|371601	    6428	   3468	NA	NA	  41520	   65095	    7667	   1853	    4337	    4508	   9506	   35314	   31733	   10171	NA	NA	    280	    269	  17895	NA	NA	   1226	   18212	   3775	   1592	NA	   7791	NA	NA	NA	NA	NA	NA	    6923	NA	   2499	   1992	NA	NA	  334203	NA	    510	NA	    680	  327950	  18256	   69562	   27678	NA
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	2|201174|84998|84999|84107|102106|147206	    2460	   5047	     481	     390	   1398	    2152	    2163	   2801	NA	    1757	    203	   55537	    1590	    5502	NA	    1115	NA	NA	    569	    175	    280	    713	      90	NA	NA	    144	   2393	     47	    241	NA	NA	     50	     899	    6427	   1012	    383	    713	NA	NA	     146	     45	   2227	NA	   1197	NA	   2959	    3100	     971	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138	2|1239|186801|186802|186803|1506553|1965560	    3640	NA	NA	NA	NA	NA	NA	NA	NA	    1471	NA	NA	NA	NA	   2487	NA	NA	NA	NA	NA	NA	NA	    1701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis	2|1239|186801|186802|186806|264995|214853	    2154	NA	NA	NA	NA	NA	NA	NA	    4200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317	2|1239|186801|186802|186803|189330|1262873	    2076	NA	    5384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    4988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     479	NA	NA	NA	NA	NA	    1237	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	2|1224|||||1262986	    1711	    147	   64442	    2652	NA	NA	NA	NA	   60726	NA	NA	NA	NA	    2591	   1984	    3837	NA	NA	    260	NA	NA	NA	    3852	NA	NA	NA	NA	NA	   1147	  63252	   2232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   4607	NA	    4862	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	2|201174|84998|1643822|1643826|644652|471189	    2613	    333	   24534	NA	NA	    2273	NA	   1155	   11034	   15062	    310	   34862	NA	    7076	   7388	     976	NA	NA	  10422	NA	NA	NA	    1201	NA	NA	NA	NA	NA	   3502	NA	   9066	NA	    6119	    2723	   3333	NA	NA	  84656	NA	     626	NA	  12348	   3302	NA	   13101	   1693	NA	    2384	    4213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora	2|1239|186801|186802|541000|1892380|1849041	    2204	NA	NA	NA	NA	NA	NA	NA	    1846	    2302	NA	NA	NA	NA	NA	NA	NA	NA	    733	NA	NA	NA	     220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   1239	NA	NA	NA	     480	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	2|1239|186801|186802|31979|1485|1262824	    1422	    543	   12049	NA	NA	    1460	NA	    828	NA	NA	     54	   19885	   11807	NA	NA	    2333	   2878	NA	  16779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   6734	NA	NA	   16126	NA	NA	NA	NA	NA	   18691	NA	   3367	NA	NA	   14763	NA	    4502	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum	2|1239|526524|526525|128827|1505663|1522	    1209	NA	NA	NA	NA	NA	NA	NA	   29399	NA	NA	    3279	     884	   77067	  18220	NA	NA	NA	   2609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   3802	NA	NA	NA	NA	NA	NA	NA	    975	NA	    1396	NA	NA	NA	   4836	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	2|1239|186801|186802|186804|1505657|261299	     683	  15888	     518	NA	  37231	NA	NA	NA	    2968	NA	    515	NA	NA	   90324	   4741	NA	NA	NA	NA	  11142	NA	   2757	NA	NA	NA	  18535	   6527	NA	NA	  17119	NA	NA	NA	NA	NA	NA	NA	NA	NA	    1188	NA	NA	NA	NA	NA	NA	NA	    1132	NA
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_sp_CAG_439	2|32066|203490|203491|203492|848|1262899	     417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    2785
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	2|201174|84998|1643822|1643826|580024|671266	     390	NA	     914	NA	NA	     396	NA	NA	NA	    2669	NA	    1039	NA	      77	     54	      27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	     216	NA	NA	NA	NA	    705	NA	NA	NA	NA	NA	NA	     241	     54	NA	     218	     223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	2|1239|186801|186802||1392389|1297617	     440	   1781	    4415	NA	   2951	NA	NA	NA	   15251	    1241	NA	   51876	NA	    2715	NA	    1248	NA	   3917	NA	NA	NA	NA	NA	NA	NA	NA	   7082	NA	NA	NA	    631	    932	NA	    2029	NA	    412	NA	    328	    2026	   22325	NA	     75	NA	NA	    3138	NA	     434	NA	    1916
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae	2|1239|186801|186802|186803|1506553|208479	     877	NA	NA	NA	NA	NA	NA	NA	  236383	NA	NA	NA	    1548	   12851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	    9425	NA	NA	NA	  13135	NA	    5000	NA	NA	NA	NA	NA	NA	NA	NA	     430
