#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011295_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6578519
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.564	6024569
k__Bacteria|p__Bacteroidetes	2|976	54.07971	0.84581	3869114
k__Bacteria|p__Firmicutes	2|1239	40.05911	0.62652	1942122
k__Bacteria|p__Actinobacteria	2|201174	5.03155	0.07869	176355
k__Bacteria|p__Proteobacteria	2|1224	0.82963	0.01298	36978
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	54.07971	0.84581	3869114
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	37.1123	0.58044	1845401
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.56795	0.0558	121574
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.4636	0.02289	54781
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.2797	0.02001	39631
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.17889	0.01844	41533
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.69759	0.01091	31971
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.48822	0.00764	15557
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06725	0.00105	2935
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.06478	0.00101	2072
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	54.07971	0.84581	3869114
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	37.1123	0.58044	1845401
