#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011335_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2790314
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.91817	0.70898	2392894
k__Archaea	2157	0.08183	0.00058	1026
k__Bacteria|p__Firmicutes	2|1239	52.59781	0.37321	976315
k__Bacteria|p__Bacteroidetes	2|976	41.51083	0.29454	1321843
k__Bacteria|p__Fusobacteria	2|32066	4.04973	0.02874	49386
k__Bacteria|p__Proteobacteria	2|1224	0.92036	0.00653	32003
k__Bacteria|p__Actinobacteria	2|201174	0.83944	0.00596	13347
k__Archaea|p__Euryarchaeota	2157|28890	0.08183	0.00058	1026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	41.51083	0.29454	1321843
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.87965	0.27587	805155
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	6.56448	0.04658	73110
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	4.04973	0.02874	49386
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.15565	0.02239	40454
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.24352	0.01592	31134
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.6267	0.01154	24525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.67588	0.0048	24386
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.55152	0.00391	8656
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.28792	0.00204	4691
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.24448	0.00173	7617
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1278	0.00091	1937
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.08183	0.00058	1026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	41.51083	0.29454	1321843
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	38.87965	0.27587	805155
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	6.56448	0.04658	73110
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	4.04973	0.02874	49386
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.24352	0.01592	31134
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.14741	0.01524	27736
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.6267	0.01154	24525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.67588	0.0048	24386
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.55152	0.00391	8656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.52095	0.0037	8244
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.48728	0.00346	4474
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.28792	0.00204	4691
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.24448	0.00173	7617
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.1278	0.00091	1937
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.08183	0.00058	1026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	30.93018	0.21947	1061018
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	18.93659	0.13437	460971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	9.52356	0.06758	131897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	8.96313	0.0636	183557
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2|1239|1737404|1737405|1570339	6.56448	0.04658	73110
