#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011275_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6254497
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.6923	5558629
k__Bacteria|p__Firmicutes	2|1239	89.84183	1.52039	4984298
k__Bacteria|p__Bacteroidetes	2|976	5.32974	0.09019	390837
k__Bacteria|p__Actinobacteria	2|201174	4.47608	0.07575	170064
k__Bacteria|p__Proteobacteria	2|1224	0.35235	0.00596	13430
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	85.13226	1.44069	4807519
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.32974	0.09019	390837
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.61052	0.0611	137230
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.50604	0.04241	85481
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.76399	0.02985	75722
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.86556	0.01465	32834
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.28688	0.00485	10360
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.21273	0.0036	7362
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15265	0.00258	5216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.09079	0.00154	4372
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.04883	0.00083	1696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	85.13226	1.44069	4807519
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.32974	0.09019	390837
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	3.59424	0.06083	136557
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.05992	0.03486	67300
