#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011297_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4912369
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.22725	4312615
k__Bacteria|p__Bacteroidetes	2|976	48.9094	0.60024	2692645
k__Bacteria|p__Firmicutes	2|1239	35.61498	0.43708	1068221
k__Bacteria|p__Actinobacteria	2|201174	6.98458	0.08572	212549
k__Bacteria|p__Verrucomicrobia	2|74201	4.2243	0.05184	144683
k__Bacteria|p__Proteobacteria	2|1224	3.92718	0.0482	184553
k__Bacteria|p__Fusobacteria	2|32066	0.30699	0.00377	8874
k__Bacteria|p__Synergistetes	2|508458	0.03258	0.0004	1090
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.9094	0.60024	2692645
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	17.84823	0.21904	664861
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	15.37512	0.18869	353093
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.2243	0.05184	144683
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	3.76978	0.04626	110417
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.2148	0.03945	102132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.82251	0.02237	114636
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.38527	0.017	29079
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.97287	0.01194	24416
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.86451	0.01061	36149
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.70572	0.00866	14393
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.30699	0.00377	8874
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.29937	0.00367	6760
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.26729	0.00328	9352
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.03258	0.0004	1090
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00126	2e-05	35
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	48.9094	0.60024	2692645
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	17.84823	0.21904	664861
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	15.37512	0.18869	353093
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	4.2243	0.05184	144683
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	3.74647	0.04598	109849
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.07826	0.02551	56199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.82251	0.02237	114636
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.13654	0.01395	45933
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.97287	0.01194	24416
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.86451	0.01061	36149
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.74931	0.0092	12545
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.70572	0.00866	14393
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.63596	0.0078	16534
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.30699	0.00377	8874
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.26729	0.00328	9352
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.21325	0.00262	4899
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.08612	0.00106	1861
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.03258	0.0004	1090
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.0233	0.00029	568
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.00126	2e-05	35
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	42.25179	0.51853	2411946
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	15.37512	0.18869	353093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	6.25077	0.07671	186891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.70935	0.07007	237801
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.97196	0.06102	212497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	4.7199	0.05792	185039
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	4.2243	0.05184	144683
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	3.74647	0.04598	109849
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	2.05167	0.02518	55394
