#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011321_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4122707
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.86521	3607246
k__Bacteria|p__Bacteroidetes	2|976	75.0979	0.64975	2955323
k__Bacteria|p__Firmicutes	2|1239	21.22157	0.18361	563761
k__Bacteria|p__Proteobacteria	2|1224	2.80597	0.02428	68867
k__Bacteria|p__Actinobacteria	2|201174	0.44393	0.00384	8897
k__Bacteria|p__Verrucomicrobia	2|74201	0.43063	0.00373	10398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	75.0979	0.64975	2955323
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.73891	0.13617	433913
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.98775	0.0172	32764
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.87653	0.01624	30311
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.75836	0.01521	43012
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.60347	0.01387	66536
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.92114	0.00797	23618
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.43063	0.00373	10398
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.23074	0.002	4610
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2132	0.00184	4287
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.12647	0.00109	2237
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.01492	0.00013	237
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	75.0979	0.64975	2955323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	15.73891	0.13617	433913
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.98775	0.0172	32764
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.87653	0.01624	30311
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.75836	0.01521	43012
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.60347	0.01387	66536
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.92114	0.00797	23618
