#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011331_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4547364
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.63604	1.13267	3585964
k__Archaea	2157	0.36396	0.00414	7312
k__Bacteria|p__Firmicutes	2|1239	52.07175	0.59196	1776108
k__Bacteria|p__Bacteroidetes	2|976	27.50358	0.31266	1298394
k__Bacteria|p__Actinobacteria	2|201174	19.9192	0.22644	506465
k__Archaea|p__Euryarchaeota	2157|28890	0.36396	0.00414	7312
k__Bacteria|p__Proteobacteria	2|1224	0.13704	0.00156	4859
k__Bacteria|p__Synergistetes	2|508458	0.00446	5e-05	138
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	48.33528	0.54948	1674789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	27.50358	0.31266	1298394
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	17.77971	0.20212	452048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.13949	0.02432	54417
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.48864	0.01692	33313
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.34649	0.01531	35081
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.82237	0.00935	30872
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.36396	0.00414	7312
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.09031	0.00103	3497
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.07898	0.0009	2053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03305	0.00038	892
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01369	0.00016	470
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00446	5e-05	138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	48.33528	0.54948	1674789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	27.50358	0.31266	1298394
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	17.77971	0.20212	452048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.90485	0.02165	47747
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.4773	0.01679	33068
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.34649	0.01531	35081
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.82237	0.00935	30872
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.36396	0.00414	7312
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.23464	0.00267	6670
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.09031	0.00103	3497
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.07898	0.0009	2053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.03305	0.00038	892
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.01369	0.00016	470
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.01133	0.00013	245
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.00446	5e-05	138
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	20.20016	0.22964	1028440
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	20.17706	0.22937	761401
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	17.98116	0.20441	569294
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	17.77971	0.20212	452048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	9.93519	0.11294	333032
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	2.37827	0.02704	70929
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.88487	0.02143	47187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.72632	0.01962	48577
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.69641	0.01928	93969
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	1.34649	0.01531	35081
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	1.31564	0.01496	47396
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.85443	0.00971	19906
