#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/snic2022-22-166/ozlem/KCL22/ERR011281_1.fastq --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2287072
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.15353	0.49749	1840188
k__Archaea	2157	1.84647	0.00936	16540
k__Bacteria|p__Bacteroidetes	2|976	68.38215	0.34659	1397959
k__Bacteria|p__Firmicutes	2|1239	29.77138	0.15089	442229
k__Archaea|p__Euryarchaeota	2157|28890	1.84647	0.00936	16540
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	68.38215	0.34659	1397959
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.52466	0.13951	417704
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.84647	0.00936	16540
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.82409	0.00925	20559
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.41564	0.00211	3877
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.007	4e-05	89
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	68.38215	0.34659	1397959
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	27.52466	0.13951	417704
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.84647	0.00936	16540
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	1.60203	0.00812	18042
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.41564	0.00211	3877
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.18007	0.00091	2114
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.042	0.00021	403
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.007	4e-05	89
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	45.35394	0.22987	835944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	18.40655	0.09329	313385
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	17.86397	0.09054	449547
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	6.47801	0.03283	66968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	3.38811	0.01717	79186
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.84647	0.00936	16540
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	1.62175	0.00822	26165
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	1.60203	0.00812	18042
