X.clade_name	clade_taxid	ERR011273_profile_count.txt	ERR011275_profile_count.txt	ERR011277_profile_count.txt	ERR011279_profile_count.txt	ERR011281_profile_count.txt	ERR011283_profile_count.txt	ERR011285_profile_count.txt	ERR011287_profile_count.txt	ERR011289_profile_count.txt	ERR011291_profile_count.txt	ERR011295_profile_count.txt	ERR011297_profile_count.txt	ERR011299_profile_count.txt	ERR011303_profile_count.txt	ERR011307_profile_count.txt	ERR011313_profile_count.txt	ERR011321_profile_count.txt	ERR011327_profile_count.txt	ERR011329_profile_count.txt	ERR011331_profile_count.txt	ERR011333_profile_count.txt	ERR011335_profile_count.txt	ERR011341_profile_count.txt	ERR2809_profile_count.txt	ERR2838_profile_count.txt	ERR2849_profile_count.txt	ERR2859_profile_count.txt	ERR2881_profile_count.txt	ERR2951_profile_count.txt	ERR2996_profile_count.txt	ERR3003_profile_count.txt	ERR3016_profile_count.txt	ERR3019_profile_count.txt	ERR3028_profile_count.txt	ERR3068_profile_count.txt	ERR3112_profile_count.txt	ERR3119_profile_count.txt	ERR3162_profile_count.txt	ERR3163_profile_count.txt	ERR3188_profile_count.txt	ERR3210_profile_count.txt	ERR3216_profile_count.txt	ERR3217_profile_count.txt	ERR3250_profile_count.txt	ERR3264_profile_count.txt	ERR3283_profile_count.txt
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	  15549	NA	  19386	   7610	  16540	NA	NA	NA	NA	NA	NA	NA	   5347	NA	NA	NA	NA	  14470	NA	   7312	NA	   1026	NA	NA	NA	  106558	    8788	 413982	NA	   60852	NA	  106632	  137118	 891690	  55283	NA	NA	   8454	NA	 166099	   21082	   31350	 116187	   23787	  320591	   73951
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	  14860	NA	NA	   2604	NA	   7115	  11480	NA	   8600	   2833	  31971	  36149	NA	    224	  26401	NA	  23618	NA	  13116	   3497	NA	   7617	   1431	     486	  110333	   10098	  147157	  33469	     480	   27006	NA	NA	NA	NA	  67374	NA	   17058	   6074	   17729	NA	    5765	    9266	  18232	    2943	   25129	    1201
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	   9943	  32834	  69549	  20431	NA	  11487	  10197	  10027	   8965	  24160	  54781	 102132	  40643	  16651	   2173	   3574	   4287	  36011	 378938	  54417	  91039	   8656	  15502	  230989	  482391	   29591	  575601	 366987	  215981	  384790	  164842	   59594	  137049	  28796	 174848	   30603	  122075	 221786	  733275	 178781	  154080	  193837	 194417	  156858	  280031	  642771
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	   9935	 137230	  23856	  15032	NA	  21153	  11752	NA	  18032	  74410	 121574	 110417	  45381	  27548	NA	  64947	   4610	  14393	 131863	 452048	 581911	   4691	  15094	 1460613	  356602	  116588	   97151	1287126	  184642	 1309519	NA	    3524	  428199	1746727	 219656	NA	   34100	 850690	  168996	 337139	  143029	  562281	 176347	  434791	   19572	 1549402
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	   3630	  85481	  99965	  89101	  20559	  70750	 367931	NA	  74539	  32144	  41533	  29079	 169150	 117282	   1499	   2117	  32764	  29229	  66392	   2053	  57141	  40454	  41194	   30743	   70969	   90406	  147720	 148420	   71121	   85822	   47024	   40720	   50861	   7955	  62907	   43007	  453833	 645413	  175784	 102658	   20942	   20610	 155621	   82388	   74903	   76487
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	   7577	   4372	  16464	   5443	NA	    765	   1465	NA	   1449	  10654	   2935	   9352	    828	  17651	NA	    731	  43012	    214	    221	    892	  57796	NA	NA	   64638	    2857	   89062	    3158	   1048	   14310	     236	NA	   91810	   90460	  22769	   3268	    7561	    4103	    597	     367	  10929	   21968	    3821	   4852	     491	    7591	   13146
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	   1942	   1696	   9366	    294	NA	NA	   2552	  90562	   3425	NA	NA	 114636	   8351	   2170	  56974	   4200	NA	   3361	   2358	    470	  19177	  24386	 160409	NA	  400602	  334638	    3218	  30729	NA	    1703	    3182	     188	   82355	  20032	 189883	    5540	     127	  31761	  103220	 640390	   76692	   18762	  14315	   16126	NA	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	   1176	   5216	  73341	  60996	     89	  10774	  12067	 201269	   2956	NA	NA	     35	  85598	   8877	   2193	NA	  66536	   3529	  11848	  30872	   9081	  24525	   1957	    9773	  303895	    5594	  229394	   3361	NA	    2549	   21849	  430528	   36523	  27358	  12939	NA	  125468	 119952	  126236	  55625	    7444	   12652	NA	  378248	   61406	  261488
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	    856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 144683	NA	NA	NA	NA	  10398	  23620	NA	NA	NA	NA	NA	  108650	  743539	  158778	   67373	 156452	  642636	NA	  508449	NA	    1530	  49976	NA	    2990	   97168	   5796	NA	   3232	  240543	   80054	  30054	    4541	NA	  129066
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	    155	NA	NA	    276	NA	NA	NA	NA	NA	NA	NA	   1090	    138	NA	NA	NA	NA	    167	    415	    138	NA	NA	NA	NA	NA	NA	NA	  18660	NA	NA	NA	NA	    8896	NA	NA	NA	NA	    683	NA	NA	    1082	    2074	NA	NA	  160266	NA
