X.clade_name	clade_taxid	ERR011273_profile_count.txt	ERR011275_profile_count.txt	ERR011277_profile_count.txt	ERR011279_profile_count.txt	ERR011281_profile_count.txt	ERR011283_profile_count.txt	ERR011285_profile_count.txt	ERR011287_profile_count.txt	ERR011289_profile_count.txt	ERR011291_profile_count.txt	ERR011295_profile_count.txt	ERR011297_profile_count.txt	ERR011299_profile_count.txt	ERR011303_profile_count.txt	ERR011307_profile_count.txt	ERR011313_profile_count.txt	ERR011321_profile_count.txt	ERR011327_profile_count.txt	ERR011329_profile_count.txt	ERR011331_profile_count.txt	ERR011333_profile_count.txt	ERR011335_profile_count.txt	ERR011341_profile_count.txt	ERR2809_profile_count.txt	ERR2838_profile_count.txt	ERR2849_profile_count.txt	ERR2859_profile_count.txt	ERR2881_profile_count.txt	ERR2951_profile_count.txt	ERR2996_profile_count.txt	ERR3003_profile_count.txt	ERR3016_profile_count.txt	ERR3019_profile_count.txt	ERR3028_profile_count.txt	ERR3068_profile_count.txt	ERR3112_profile_count.txt	ERR3119_profile_count.txt	ERR3162_profile_count.txt	ERR3163_profile_count.txt	ERR3188_profile_count.txt	ERR3210_profile_count.txt	ERR3216_profile_count.txt	ERR3217_profile_count.txt	ERR3250_profile_count.txt	ERR3264_profile_count.txt	ERR3283_profile_count.txt
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	2|1224|28216|80840|995019|40544	    114	NA	NA	   1505	NA	    765	   1465	NA	NA	   5261	    230	NA	    364	    374	NA	    731	    444	    214	NA	    892	NA	NA	NA	NA	NA	NA	    3158	NA	NA	     236	NA	NA	NA	NA	NA	NA	    2827	    597	     367	NA	NA	     589	   1735	     491	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	2|976|200643|171549|171552|838|165179	1901259	   1904	 133143	NA	 824202	 973774	4738552	NA	NA	   5425	NA	   3266	3058555	NA	NA	NA	NA	NA	NA	NA	NA	  37897	 600614	NA	NA	NA	  301579	NA	NA	NA	NA	NA	NA	NA	NA	NA	 7162374	   8183	NA	NA	NA	NA	NA	 6838725	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	2|976|200643|171549|171552|838|1262924	 295002	NA	  20807	 192771	NA	  10037	NA	NA	 145317	NA	NA	NA	  25601	NA	NA	NA	NA	NA	NA	  52848	NA	  11460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   2152	NA	NA	NA	NA	NA	   79804	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	2|1239|186801|186802|541000|216851|853	 357121	 762356	 156378	 210581	   8283	 235214	 306936	NA	 143326	 188810	 482323	  54175	 281208	 240925	NA	 134231	  31429	 440265	NA	 321172	1286604	  71825	 905269	  707872	 2449741	  928730	 1215824	 467892	  423499	  881379	  871161	  811057	  565410	 301956	 491849	 1253927	 1030975	 550459	  196638	 184277	  911644	  989748	1251173	  757793	NA	 1369330
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	2|1239|186801|186802|186803|33042|410072	 148408	  16840	  79052	  33902	  20413	   8225	   5489	NA	  20913	  71791	  57019	  38374	  30367	  22645	NA	NA	   1565	  10400	NA	  54369	  64948	   9148	   6511	NA	   49641	   60960	  357881	 185123	  369758	  193222	  228144	  186354	   92550	 130289	 108180	   43233	  175407	  14785	   66971	 120201	   80430	   97531	 183873	  110662	NA	  181636
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2|976|200643|171549|171550|239759|28117	 106811	   7008	     53	  69842	   5316	   1438	 133210	NA	  58075	NA	 266315	    261	   2096	   1189	 484647	NA	  89756	    961	 502138	  47402	    768	  38142	 346637	  315483	 1043257	  406645	  711116	 254935	  521251	   84716	  224660	  220967	  409858	   2737	 338795	  324930	  513999	  59658	  551895	 283237	  687591	  637322	 653145	     843	NA	  287646
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_530	2|976|200643|171549|815|816|1262741	 115217	NA	NA	 247332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	2|976|200643|171549|815|816|310297	  79635	NA	NA	 482333	NA	NA	 422590	NA	  93581	NA	NA	   9886	 236211	NA	NA	NA	 366427	NA	NA	 234548	NA	  71537	NA	NA	NA	NA	  161259	NA	NA	NA	NA	 1598070	NA	NA	 424923	NA	NA	  75004	  199898	  29396	NA	NA	 171813	  489510	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	2|1239|186801|186802|186803||39491	  54074	    819	NA	  26307	 194898	 288396	  13229	NA	  14382	  52853	 106939	  13739	  31930	NA	  72408	  11003	NA	  11368	   9126	  66721	 141933	 225580	   7225	NA	 1543075	     575	 2019365	  17488	  158097	  347679	  281349	NA	   37341	NA	 194177	 1363770	 1312531	1005385	  209628	 184647	 1743785	   11362	  24779	  835311	NA	 1263699
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	2|1239|||||1262992	  25341	   1243	   2941	   3407	NA	    921	   9907	NA	  23947	  61018	  16107	 350033	    111	   2492	NA	NA	  30311	   8055	  92201	   7832	  27248	  26096	  11195	  231686	NA	    1166	  301938	  17212	   70482	   10668	  113016	   25363	   11807	NA	  31993	    4990	  121281	    141	  177634	   5360	NA	    1030	  15087	     892	  404300	  104390
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	2|1239|186801|186802|541000||39492	  36713	NA	 247979	 570909	   1335	    876	NA	NA	  22798	    553	  24392	  40344	   9500	NA	NA	NA	NA	  22490	NA	  50171	    151	  99545	  56789	  174587	  696115	   35650	   53074	  15361	NA	    3316	    4639	NA	  141056	 791244	 477994	    7781	NA	  16744	NA	   2537	    6678	   23871	  16810	  300465	NA	   15186
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	2|1239|186801|186802|216572|459786|1897011	  14701	NA	  24771	  13216	NA	   7983	   1829	NA	  23170	   5152	NA	   2466	    435	NA	NA	NA	   9764	NA	NA	NA	NA	NA	  13726	NA	   25992	   51193	  125486	  54021	    3477	  143736	   59542	   23879	   48917	   1334	  33557	   40970	   86559	  37887	NA	  22931	   15789	   22784	  41246	    8020	    1252	    2080
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2|976|200643|171549|815|816|47678	  49305	   1031	  20934	   1258	  32988	    713	  22908	NA	  62704	NA	  75270	NA	  18523	  91626	NA	NA	NA	  37210	 262583	NA	NA	  55800	  72144	   98974	  500094	   48165	   26708	  31126	   21578	   18625	  118538	NA	NA	NA	  80837	NA	   97563	 155150	 4148252	  45721	NA	NA	  88733	   96664	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	2|976|200643|171549|1853231|283168|28118	  41055	NA	  32786	  39890	  22680	   5199	  13384	NA	   5268	  25006	  40466	  27830	   7959	  50407	NA	NA	  26597	  18494	  48803	   2497	  73756	  28817	  33686	   72737	  295607	  144490	   63732	  64020	   71049	   50126	   70507	   63474	  158636	NA	 109397	  100222	  160621	  53704	  127725	  59324	  133075	  119334	 132950	   89845	   74128	   49116
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	  52769	   5085	NA	 104639	 189081	    118	  10273	NA	 369804	 311760	 764941	NA	  12286	 103704	3677477	 666483	 956061	1225992	NA	 111738	NA	  40004	 169253	  174741	NA	   55761	    2314	 408578	NA	 2315734	  460000	    9562	 1334795	NA	  58592	 2045124	  242220	  32767	  259894	  23759	  948768	NA	NA	NA	 4918224	   92942
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	  15549	NA	  19386	   7610	  16540	NA	NA	NA	NA	NA	NA	NA	   5347	NA	NA	NA	NA	  14470	NA	   7312	NA	   1026	NA	NA	NA	  106558	    8788	 413982	NA	   60852	NA	  106632	  137118	 891690	  55283	NA	NA	   7746	NA	 166099	   21082	   31350	 100382	   23787	  320591	   73951
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_488	2|1239|186801|186802|541000|1263|1262959	  18013	NA	NA	NA	NA	   9832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  81103	NA	NA	NA	NA	NA	   15306	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	2|1239|186801|186802|186803|189330|88431	  24354	NA	  43580	  26098	   8434	  10008	   7991	NA	  18579	  21950	  16926	  39065	  29171	  13867	  13036	NA	  13722	  24438	NA	   5118	  21829	  10913	   3022	  250937	  215742	   54242	  397036	  45381	  279575	  413209	  438717	  203601	  129348	  46489	 128851	   73206	  384239	 330076	  130101	 129843	  185584	  159137	 224833	  144073	  651865	  271040
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	2|976|200643|171549|2005519|397864|487174	  24608	   3220	    917	  45545	   2709	   1943	  56546	NA	   2260	  39410	 202348	 170273	   2907	  50886	NA	NA	  79606	NA	  99797	  47396	 176993	  34133	  50185	  285693	  318941	NA	  117097	  51164	  337586	   32637	  192110	NA	  350948	NA	 297666	  251602	   56836	  39584	  580278	 241633	  349097	  287151	  37231	    2070	NA	  223970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	2|1239|186801|186802|186803|1407607|1150298	  22508	NA	  65470	  16423	   4036	   7796	   6853	NA	   4459	NA	 154809	   8453	  22477	NA	NA	NA	NA	  54605	NA	 174244	 122568	  13082	  24368	  211089	 1255039	  181044	  552726	 499910	  938025	 1435827	 1507534	 1121065	  223591	 346601	 149606	  488535	   43369	 231680	   43462	 275729	  810766	  388563	 237837	  227773	  410648	  583527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	2|1239|186801|186802|541000|1263|40518	  12288	NA	NA	 117455	NA	NA	NA	NA	  22104	NA	  17717	    757	  33630	   1209	NA	NA	NA	 137639	  74156	 122046	  50969	   2265	NA	 1824356	 1050270	  966094	  662399	 280535	  772375	  404065	NA	NA	NA	1352973	 488999	  392913	  638900	NA	    2747	  82313	NA	  696231	 638345	  364196	NA	  976070
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	2|1239|||||1263000	  13371	NA	   1098	  54490	NA	   6184	NA	NA	 116150	NA	NA	NA	   7972	NA	NA	NA	NA	  22912	NA	  14000	NA	NA	  14819	NA	   11947	   10062	   49486	   6087	NA	   12161	NA	    9239	   37662	NA	  52895	    7426	NA	 114295	NA	  28617	    5939	NA	  12346	   20760	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	2|1239|186801|186802|186803|841|360807	  19460	  77642	  16070	  22561	  10464	  11432	  54308	NA	  23703	  17550	  54698	NA	  31336	NA	NA	NA	NA	   5595	NA	  35152	  20916	    857	 128665	   27412	  123890	   75205	  107410	   1820	NA	   32315	  534279	  100623	   97342	   8248	  29498	    2522	  121381	  36960	   81086	  14925	   76115	  288623	  74840	  101658	    2112	   38475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_CAG_409	2|976|200643|171549|2005525|375288|1262913	  17428	  10554	   3332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  25661	NA	NA	NA	    2303	NA	NA	NA	NA	NA	NA	NA	 113441	NA	NA	NA	NA	  11848	NA	NA	NA	   15159	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	2|1239|186801|186802|186803|841|166486	  18270	NA	  10113	 158284	  11263	  46080	   1067	   7474	   7106	  44795	  83360	NA	   2089	NA	NA	  63068	  12065	   1777	NA	  11995	NA	  13745	  53653	  149554	   38351	NA	    3766	NA	  144723	  238307	  272746	    3115	NA	  59884	  28090	  121144	   17709	    392	NA	  67079	   83562	NA	  24976	  237048	  226833	    2098
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	   8938	  27050	  41202	  15196	NA	   8789	   7561	NA	   5084	  19788	  32585	  47842	  24312	  12921	NA	NA	   2196	   7953	   1685	  42082	  73313	   6280	  11015	  181994	  268089	   22509	  487605	 347931	  165947	  339919	  143525	   42114	  107709	NA	 156697	NA	   91049	 207079	  438303	 137850	   54685	  141511	 169009	  122037	NA	  363574
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2|976|200643|171549|815|816|821	  19091	  56669	 377389	 209730	  42193	  10409	 867820	NA	 122202	 556694	1057450	 111920	  34330	2409340	NA	1191884	 498657	    398	  78409	 285786	NA	  69465	 548710	NA	 2451171	 1035702	  319196	 268590	  891163	  544140	   86488	 2098571	  259093	NA	 521000	NA	 3021040	 168785	  966377	 221693	 1828267	 1170315	 664632	  264663	  445172	  318712
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	  16987	   5698	 112348	 322296	  34491	  45821	 100588	NA	 357421	 641043	 658022	1721782	  12948	1385961	NA	 910607	 214263	 126469	1022270	  72285	NA	 540288	 185381	  596501	 2896471	 1463818	 2039489	 134148	 1939652	  444455	  418461	  550940	 1098406	NA	 312008	  973424	  236655	  60423	 2860008	 694777	 4351075	  617924	  80864	   37845	 1516557	 1274835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	2|976|200643|171549|2005525|375288|46503	  15181	   3866	  19271	   5471	  50441	  11640	  58169	 120604	 100842	NA	 143038	  31692	   6261	NA	NA	NA	  77240	 138602	 172049	  20636	NA	  17067	NA	   44181	  488259	   54290	  168468	  37683	   47509	  138771	  248397	   47890	  223156	NA	  63152	NA	  177493	 113428	  419767	   1036	NA	  352324	  58367	   19499	  326954	   90531
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	2|1239|186801|186802|186803|841|301301	  15835	NA	    351	NA	   1101	   9850	  19449	NA	  19137	  18865	   1739	   1613	   4611	NA	NA	NA	NA	  16473	NA	   3267	  54644	   8199	   4203	   20376	NA	  187785	   71928	  40253	   57315	   25704	  147120	  561282	  148415	   7949	  65893	   99405	   40751	  50234	NA	 281728	    5665	   30257	  28944	   46145	  206614	   91890
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	2|976|200643|171549|815|816|338188	  14996	   3041	NA	  13369	NA	   1474	   1304	NA	  35072	NA	NA	NA	NA	NA	NA	NA	   7932	NA	  87419	NA	NA	NA	NA	NA	    9669	NA	    6573	   1525	NA	NA	NA	NA	NA	NA	  31171	NA	   25928	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	2|1224|28221|213115|194924|872|901	   7952	NA	NA	NA	NA	   7115	NA	NA	NA	NA	  25546	  16733	NA	NA	NA	NA	  18237	NA	NA	   1414	NA	NA	NA	NA	   91178	NA	  106547	  31435	NA	   14825	NA	NA	NA	NA	  62411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes	2|1239|909932|1843489|31977|39948|39950	   3302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  10199	NA	NA	NA	NA	NA	NA	NA	NA	NA	   4195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	   5690	  67066	  21081	  13059	NA	  17128	   5163	NA	  12808	  32868	  51246	NA	  29560	   7726	NA	  34800	NA	    620	NA	 356612	 386400	NA	  10665	 1460613	  133361	   20203	   67420	 380191	  127874	  887153	NA	NA	  163426	1379227	  55719	NA	   16222	 755520	   52859	 175975	  106988	  489715	 146190	  264792	NA	 1145147
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	2|1224|28216|80840|995019|577310|487175	   7087	   3229	  16464	   3809	NA	NA	NA	NA	   1449	   3838	   2573	   6042	NA	  15871	NA	NA	  41572	NA	NA	NA	NA	NA	NA	   42905	    2857	   86074	NA	   1048	   11417	NA	NA	   81831	   75247	   6211	   3268	    7561	    1276	NA	NA	  10929	    8896	    3232	   3117	NA	    6084	    2565
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	2|1239|||||1262988	   7234	NA	   7875	NA	NA	NA	NA	NA	NA	NA	NA	NA	    530	NA	NA	NA	NA	NA	NA	   2131	NA	    511	NA	    3303	NA	  142916	NA	   2629	NA	    1807	NA	NA	    2876	NA	  15082	   33369	NA	  22465	    2424	   7016	NA	NA	  23712	   10611	NA	    4529
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2|976|200643|171549|815|816|818	  13976	NA	    710	NA	   7795	NA	  69949	 127200	  14878	  12102	 127261	  89603	    167	  13045	1206641	 328207	  47605	  26414	  97428	NA	NA	  15864	  19056	   39221	   87836	  255002	    2577	  20873	  118424	  210645	   46616	  139262	  343544	NA	  42183	  252749	   21107	NA	  663608	   2968	NA	  122741	 106119	NA	  929535	  153529
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	2|1239|186801|186802|186806|1730|39485	   5958	 241225	  73099	 152189	   9907	  63081	NA	NA	  48429	 467597	 230344	  59639	 187233	 176413	NA	NA	 200746	 103047	 162737	 263011	 335617	   3287	 570387	  436191	 2158358	  114106	   46484	  24012	   45719	  395008	  108159	  798070	  566907	   7371	  32134	 2371325	  582179	 475853	NA	  22000	  404481	  160526	 253535	  209729	  760430	  252859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_CAG_528	2|1239|186801|186802|541000|244127|1262700	   3362	NA	NA	NA	  51833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	2|976|200643|171549|2005525|375288|823	   8589	NA	  35671	  48799	  28745	   4026	  71374	NA	  47993	  61728	 133235	   5574	   1453	 284061	NA	 350422	  53668	 114275	NA	  65553	 429840	  43475	  23333	   82362	  344434	  176258	   92069	  96588	  187189	  211125	   31804	   49865	NA	NA	  82352	  112726	  291873	  37328	  356995	  16893	  444131	  118922	 126339	   11591	  159861	  235987
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	2|1239|||||1263006	   3950	NA	  20646	   7373	NA	NA	NA	NA	   2327	NA	NA	NA	   1002	NA	NA	NA	NA	NA	NA	NA	NA	NA	  84073	NA	NA	NA	NA	  22168	NA	   19746	NA	    2571	NA	NA	NA	NA	NA	  37819	NA	    698	NA	NA	  29067	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	2|1224|28221|213115|194924|35832|35833	   6908	NA	NA	   2493	NA	NA	NA	NA	   8600	   2833	   6425	  19416	NA	    224	  26401	NA	   5381	NA	  13116	   1062	NA	   7617	   1431	     486	   19155	    4962	    1125	   2034	     480	NA	NA	NA	NA	NA	   4963	NA	   17058	NA	   17729	NA	    5765	    9266	  18232	    2943	   17809	    1201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2|1239|186801|186802|186803|207244|649756	   4505	  57193	   8432	   9593	   2868	   1506	   2111	NA	  15767	  48847	  25442	  16046	   2407	NA	NA	  79281	   5263	  22782	NA	 301726	 136907	   1470	  14326	  173338	   76772	  394409	   91899	 344690	  715502	  195395	  318543	  260844	  291152	 191607	  74007	  762969	  105335	  25685	   35713	  21239	  371721	   40325	 257839	   62876	 1233127	  574560
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	2|1239|186801|186802|186803|841|301302	   4880	3422667	NA	 382429	  22411	  51560	   3742	NA	  14602	  51988	  82266	     33	  86185	NA	NA	 107448	NA	 113122	NA	  42626	 566184	 109529	 538711	NA	  190577	    1105	NA	NA	NA	  299769	 1104915	NA	  287744	   8902	  31947	     755	  263056	  37935	NA	 961450	  204949	  625007	  44959	  986929	NA	  144522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum	2|1239|186801|186802|186803|1506553|84030	   4478	   5588	NA	NA	NA	NA	NA	NA	NA	   3687	NA	     76	NA	    414	NA	  19442	NA	NA	   3363	NA	  27775	NA	NA	   13055	    1096	NA	   12990	NA	NA	NA	NA	NA	NA	NA	NA	NA	     825	NA	    2195	NA	NA	NA	NA	NA	NA	   10680
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	   2727	  36827	NA	NA	NA	NA	   4822	NA	NA	  13058	  21683	NA	   7153	   5353	NA	   6658	   2039	NA	NA	   3157	  55142	   2391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   50813	NA	NA	NA	NA	NA	NA	NA	NA	NA	   4966	   14100	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	2|1239|186801|186802|186803|572511|40520	   4541	   8380	  51577	  14717	   3223	   3336	    820	NA	   8693	  12105	   7024	  25387	   2958	  13296	NA	NA	   2110	   5098	 227867	  15322	    514	   7118	NA	  100079	    1881	   73948	  482043	 234039	  112826	  146171	   79292	   57691	   28452	  63927	  84757	   20676	  562456	 304350	  197579	  99883	  183616	  227552	 103380	   41036	NA	  142497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	2|976|200643|171549|171550|239759|214856	   3957	NA	NA	   5130	NA	NA	    711	NA	   5813	NA	  81850	    594	NA	    770	  56475	NA	  40432	  11384	   1083	    497	  76724	NA	NA	   18736	  158634	    6544	    9125	   8312	   21529	   32757	  291780	   18558	 1781471	NA	 255526	   10849	   55610	  16189	  375874	  21302	  228946	  975436	  94641	    1712	     875	   16021
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	2|1239|186801|186802|31979|1485|1262824	   3065	NA	   2407	NA	NA	NA	NA	NA	NA	NA	  14602	   3506	NA	   5784	NA	   5629	  19715	    468	NA	NA	NA	    505	   4939	    1422	   19885	NA	   16126	NA	   14763	    4502	NA	NA	    2333	NA	     54	NA	   11807	    828	NA	    543	   12049	    1460	NA	NA	NA	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica	2|976|200643|171549|1853231|574697|544644	   4456	NA	    538	   2516	   2091	    945	NA	NA	    143	NA	   6585	   2680	NA	   2690	NA	NA	    640	NA	  10067	   5069	NA	   1751	NA	NA	NA	     559	   16320	NA	NA	NA	     374	NA	NA	NA	   1947	    7636	NA	   6922	    3458	NA	NA	NA	NA	NA	     555	    1000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	2|1239|186801|186802|186803|572511|33039	   3527	  56782	  96039	   2061	   9149	   4300	   8904	NA	  25534	    639	  10587	  19207	    152	NA	NA	NA	   6012	   2770	NA	  24353	NA	   3847	   1020	   80555	  302762	   44020	  748566	 456953	  482374	  479753	  293031	    9634	  143875	  48028	 100045	   48782	  281950	 163141	   52325	  25420	   27053	   69106	 144482	  132549	NA	  160738
